loc,length,bug type,approach
355,9,Unhandled-Exceptions,code snippet injection
254,3,Unhandled-Exceptions,code snippet injection
247,3,Unhandled-Exceptions,code snippet injection
237,6,Unhandled-Exceptions,code snippet injection
230,3,Unhandled-Exceptions,code snippet injection
197,2,Unhandled-Exceptions,code snippet injection
181,3,Unhandled-Exceptions,code snippet injection
170,3,Unhandled-Exceptions,code snippet injection
157,5,Unhandled-Exceptions,code snippet injection
145,3,Unhandled-Exceptions,code snippet injection
137,3,Unhandled-Exceptions,code snippet injection
129,3,Unhandled-Exceptions,code snippet injection
121,2,Unhandled-Exceptions,code snippet injection
107,9,Unhandled-Exceptions,code snippet injection
95,8,Unhandled-Exceptions,code snippet injection
81,9,Unhandled-Exceptions,code snippet injection
74,3,Unhandled-Exceptions,code snippet injection
39,9,Unhandled-Exceptions,code snippet injection
29,5,Unhandled-Exceptions,code snippet injection
349,2,Unhandled-Exceptions,code snippet injection
217,6,Unhandled-Exceptions,code snippet injection
208,8,Unhandled-Exceptions,code snippet injection
202,5,Unhandled-Exceptions,code snippet injection
66,3,Unhandled-Exceptions,code snippet injection
61,3,Unhandled-Exceptions,code snippet injection
56,3,Unhandled-Exceptions,code snippet injection
52,3,Unhandled-Exceptions,code snippet injection
