loc,length,bug type,approach
1781,9,Unhandled-Exceptions,code snippet injection
1744,3,Unhandled-Exceptions,code snippet injection
1732,3,Unhandled-Exceptions,code snippet injection
1718,6,Unhandled-Exceptions,code snippet injection
1707,3,Unhandled-Exceptions,code snippet injection
1697,2,Unhandled-Exceptions,code snippet injection
1686,3,Unhandled-Exceptions,code snippet injection
1674,3,Unhandled-Exceptions,code snippet injection
1661,5,Unhandled-Exceptions,code snippet injection
1571,3,Unhandled-Exceptions,code snippet injection
1531,3,Unhandled-Exceptions,code snippet injection
1514,3,Unhandled-Exceptions,code snippet injection
1463,2,Unhandled-Exceptions,code snippet injection
1406,9,Unhandled-Exceptions,code snippet injection
1383,8,Unhandled-Exceptions,code snippet injection
1355,9,Unhandled-Exceptions,code snippet injection
1330,3,Unhandled-Exceptions,code snippet injection
1297,9,Unhandled-Exceptions,code snippet injection
1264,5,Unhandled-Exceptions,code snippet injection
1253,2,Unhandled-Exceptions,code snippet injection
1239,6,Unhandled-Exceptions,code snippet injection
1223,8,Unhandled-Exceptions,code snippet injection
1210,5,Unhandled-Exceptions,code snippet injection
1199,3,Unhandled-Exceptions,code snippet injection
1188,3,Unhandled-Exceptions,code snippet injection
1173,3,Unhandled-Exceptions,code snippet injection
1157,3,Unhandled-Exceptions,code snippet injection
1142,5,Unhandled-Exceptions,code snippet injection
1128,5,Unhandled-Exceptions,code snippet injection
1112,5,Unhandled-Exceptions,code snippet injection
1095,5,Unhandled-Exceptions,code snippet injection
1079,3,Unhandled-Exceptions,code snippet injection
1056,5,Unhandled-Exceptions,code snippet injection
1038,9,Unhandled-Exceptions,code snippet injection
1019,3,Unhandled-Exceptions,code snippet injection
1003,8,Unhandled-Exceptions,code snippet injection
888,2,Unhandled-Exceptions,code snippet injection
870,3,Unhandled-Exceptions,code snippet injection
852,3,Unhandled-Exceptions,code snippet injection
823,3,Unhandled-Exceptions,code snippet injection
805,3,Unhandled-Exceptions,code snippet injection
785,6,Unhandled-Exceptions,code snippet injection
758,3,Unhandled-Exceptions,code snippet injection
737,8,Unhandled-Exceptions,code snippet injection
717,9,Unhandled-Exceptions,code snippet injection
700,9,Unhandled-Exceptions,code snippet injection
652,9,Unhandled-Exceptions,code snippet injection
600,6,Unhandled-Exceptions,code snippet injection
