loc,length,bug type,approach
31,9,Unhandled-Exceptions,code snippet injection
27,3,Unhandled-Exceptions,code snippet injection
23,3,Unhandled-Exceptions,code snippet injection
16,6,Unhandled-Exceptions,code snippet injection
12,3,Unhandled-Exceptions,code snippet injection
9,2,Unhandled-Exceptions,code snippet injection
469,3,Unhandled-Exceptions,code snippet injection
453,3,Unhandled-Exceptions,code snippet injection
434,5,Unhandled-Exceptions,code snippet injection
427,3,Unhandled-Exceptions,code snippet injection
420,3,Unhandled-Exceptions,code snippet injection
411,3,Unhandled-Exceptions,code snippet injection
405,2,Unhandled-Exceptions,code snippet injection
392,9,Unhandled-Exceptions,code snippet injection
376,8,Unhandled-Exceptions,code snippet injection
338,9,Unhandled-Exceptions,code snippet injection
317,3,Unhandled-Exceptions,code snippet injection
287,9,Unhandled-Exceptions,code snippet injection
252,5,Unhandled-Exceptions,code snippet injection
201,2,Unhandled-Exceptions,code snippet injection
132,6,Unhandled-Exceptions,code snippet injection
123,8,Unhandled-Exceptions,code snippet injection
117,5,Unhandled-Exceptions,code snippet injection
113,3,Unhandled-Exceptions,code snippet injection
109,3,Unhandled-Exceptions,code snippet injection
105,3,Unhandled-Exceptions,code snippet injection
93,3,Unhandled-Exceptions,code snippet injection
84,5,Unhandled-Exceptions,code snippet injection
65,5,Unhandled-Exceptions,code snippet injection
59,5,Unhandled-Exceptions,code snippet injection
53,5,Unhandled-Exceptions,code snippet injection
49,3,Unhandled-Exceptions,code snippet injection
42,5,Unhandled-Exceptions,code snippet injection
