loc,length,bug type,approach
712,9,Unhandled-Exceptions,code snippet injection
695,3,Unhandled-Exceptions,code snippet injection
674,3,Unhandled-Exceptions,code snippet injection
663,6,Unhandled-Exceptions,code snippet injection
652,3,Unhandled-Exceptions,code snippet injection
614,2,Unhandled-Exceptions,code snippet injection
606,3,Unhandled-Exceptions,code snippet injection
595,3,Unhandled-Exceptions,code snippet injection
585,5,Unhandled-Exceptions,code snippet injection
549,3,Unhandled-Exceptions,code snippet injection
540,3,Unhandled-Exceptions,code snippet injection
532,3,Unhandled-Exceptions,code snippet injection
525,2,Unhandled-Exceptions,code snippet injection
511,9,Unhandled-Exceptions,code snippet injection
498,8,Unhandled-Exceptions,code snippet injection
484,9,Unhandled-Exceptions,code snippet injection
476,3,Unhandled-Exceptions,code snippet injection
398,9,Unhandled-Exceptions,code snippet injection
390,5,Unhandled-Exceptions,code snippet injection
384,2,Unhandled-Exceptions,code snippet injection
233,6,Unhandled-Exceptions,code snippet injection
217,8,Unhandled-Exceptions,code snippet injection
209,5,Unhandled-Exceptions,code snippet injection
203,3,Unhandled-Exceptions,code snippet injection
197,3,Unhandled-Exceptions,code snippet injection
182,3,Unhandled-Exceptions,code snippet injection
172,3,Unhandled-Exceptions,code snippet injection
160,5,Unhandled-Exceptions,code snippet injection
148,5,Unhandled-Exceptions,code snippet injection
135,5,Unhandled-Exceptions,code snippet injection
126,5,Unhandled-Exceptions,code snippet injection
119,3,Unhandled-Exceptions,code snippet injection
109,5,Unhandled-Exceptions,code snippet injection
96,9,Unhandled-Exceptions,code snippet injection
90,3,Unhandled-Exceptions,code snippet injection
78,8,Unhandled-Exceptions,code snippet injection
73,2,Unhandled-Exceptions,code snippet injection
57,3,Unhandled-Exceptions,code snippet injection
47,3,Unhandled-Exceptions,code snippet injection
41,3,Unhandled-Exceptions,code snippet injection
31,3,Unhandled-Exceptions,code snippet injection
20,6,Unhandled-Exceptions,code snippet injection
466,3,Unhandled-Exceptions,code snippet injection
457,8,Unhandled-Exceptions,code snippet injection
447,9,Unhandled-Exceptions,code snippet injection
434,9,Unhandled-Exceptions,code snippet injection
423,9,Unhandled-Exceptions,code snippet injection
416,6,Unhandled-Exceptions,code snippet injection
