loc,length,bug type,approach
1037,9,Unhandled-Exceptions,code snippet injection
1033,3,Unhandled-Exceptions,code snippet injection
1029,3,Unhandled-Exceptions,code snippet injection
178,6,Unhandled-Exceptions,code snippet injection
174,3,Unhandled-Exceptions,code snippet injection
171,2,Unhandled-Exceptions,code snippet injection
141,3,Unhandled-Exceptions,code snippet injection
37,3,Unhandled-Exceptions,code snippet injection
31,5,Unhandled-Exceptions,code snippet injection
26,3,Unhandled-Exceptions,code snippet injection
22,3,Unhandled-Exceptions,code snippet injection
18,3,Unhandled-Exceptions,code snippet injection
1275,2,Unhandled-Exceptions,code snippet injection
1258,9,Unhandled-Exceptions,code snippet injection
1226,8,Unhandled-Exceptions,code snippet injection
1205,9,Unhandled-Exceptions,code snippet injection
1192,3,Unhandled-Exceptions,code snippet injection
1163,9,Unhandled-Exceptions,code snippet injection
1134,5,Unhandled-Exceptions,code snippet injection
1121,2,Unhandled-Exceptions,code snippet injection
1105,6,Unhandled-Exceptions,code snippet injection
1081,8,Unhandled-Exceptions,code snippet injection
1055,5,Unhandled-Exceptions,code snippet injection
1013,3,Unhandled-Exceptions,code snippet injection
995,3,Unhandled-Exceptions,code snippet injection
988,3,Unhandled-Exceptions,code snippet injection
963,3,Unhandled-Exceptions,code snippet injection
924,5,Unhandled-Exceptions,code snippet injection
911,5,Unhandled-Exceptions,code snippet injection
899,5,Unhandled-Exceptions,code snippet injection
884,5,Unhandled-Exceptions,code snippet injection
863,3,Unhandled-Exceptions,code snippet injection
799,5,Unhandled-Exceptions,code snippet injection
784,9,Unhandled-Exceptions,code snippet injection
771,3,Unhandled-Exceptions,code snippet injection
757,8,Unhandled-Exceptions,code snippet injection
750,2,Unhandled-Exceptions,code snippet injection
622,3,Unhandled-Exceptions,code snippet injection
573,3,Unhandled-Exceptions,code snippet injection
566,3,Unhandled-Exceptions,code snippet injection
542,3,Unhandled-Exceptions,code snippet injection
531,6,Unhandled-Exceptions,code snippet injection
521,3,Unhandled-Exceptions,code snippet injection
509,8,Unhandled-Exceptions,code snippet injection
494,9,Unhandled-Exceptions,code snippet injection
480,9,Unhandled-Exceptions,code snippet injection
464,9,Unhandled-Exceptions,code snippet injection
454,6,Unhandled-Exceptions,code snippet injection
