loc,length,bug type,approach
149,9,Unhandled-Exceptions,code snippet injection
945,3,Unhandled-Exceptions,code snippet injection
893,3,Unhandled-Exceptions,code snippet injection
876,6,Unhandled-Exceptions,code snippet injection
862,3,Unhandled-Exceptions,code snippet injection
844,2,Unhandled-Exceptions,code snippet injection
828,3,Unhandled-Exceptions,code snippet injection
811,3,Unhandled-Exceptions,code snippet injection
794,5,Unhandled-Exceptions,code snippet injection
780,3,Unhandled-Exceptions,code snippet injection
764,3,Unhandled-Exceptions,code snippet injection
743,3,Unhandled-Exceptions,code snippet injection
730,2,Unhandled-Exceptions,code snippet injection
706,9,Unhandled-Exceptions,code snippet injection
687,8,Unhandled-Exceptions,code snippet injection
666,9,Unhandled-Exceptions,code snippet injection
650,3,Unhandled-Exceptions,code snippet injection
627,9,Unhandled-Exceptions,code snippet injection
612,5,Unhandled-Exceptions,code snippet injection
594,2,Unhandled-Exceptions,code snippet injection
572,6,Unhandled-Exceptions,code snippet injection
551,8,Unhandled-Exceptions,code snippet injection
533,5,Unhandled-Exceptions,code snippet injection
517,3,Unhandled-Exceptions,code snippet injection
494,3,Unhandled-Exceptions,code snippet injection
472,3,Unhandled-Exceptions,code snippet injection
455,3,Unhandled-Exceptions,code snippet injection
436,5,Unhandled-Exceptions,code snippet injection
391,5,Unhandled-Exceptions,code snippet injection
356,5,Unhandled-Exceptions,code snippet injection
257,5,Unhandled-Exceptions,code snippet injection
247,3,Unhandled-Exceptions,code snippet injection
235,5,Unhandled-Exceptions,code snippet injection
209,9,Unhandled-Exceptions,code snippet injection
198,3,Unhandled-Exceptions,code snippet injection
177,8,Unhandled-Exceptions,code snippet injection
331,2,Unhandled-Exceptions,code snippet injection
303,3,Unhandled-Exceptions,code snippet injection
297,3,Unhandled-Exceptions,code snippet injection
165,3,Unhandled-Exceptions,code snippet injection
160,3,Unhandled-Exceptions,code snippet injection
