loc,length,bug type,approach
639,9,Unhandled-Exceptions,code snippet injection
631,3,Unhandled-Exceptions,code snippet injection
606,3,Unhandled-Exceptions,code snippet injection
596,6,Unhandled-Exceptions,code snippet injection
568,3,Unhandled-Exceptions,code snippet injection
561,2,Unhandled-Exceptions,code snippet injection
519,3,Unhandled-Exceptions,code snippet injection
491,3,Unhandled-Exceptions,code snippet injection
462,5,Unhandled-Exceptions,code snippet injection
438,3,Unhandled-Exceptions,code snippet injection
419,3,Unhandled-Exceptions,code snippet injection
409,3,Unhandled-Exceptions,code snippet injection
391,2,Unhandled-Exceptions,code snippet injection
377,9,Unhandled-Exceptions,code snippet injection
275,8,Unhandled-Exceptions,code snippet injection
258,9,Unhandled-Exceptions,code snippet injection
250,3,Unhandled-Exceptions,code snippet injection
236,9,Unhandled-Exceptions,code snippet injection
225,5,Unhandled-Exceptions,code snippet injection
218,2,Unhandled-Exceptions,code snippet injection
206,6,Unhandled-Exceptions,code snippet injection
192,8,Unhandled-Exceptions,code snippet injection
584,5,Unhandled-Exceptions,code snippet injection
580,3,Unhandled-Exceptions,code snippet injection
575,3,Unhandled-Exceptions,code snippet injection
361,3,Unhandled-Exceptions,code snippet injection
356,3,Unhandled-Exceptions,code snippet injection
350,5,Unhandled-Exceptions,code snippet injection
344,5,Unhandled-Exceptions,code snippet injection
337,5,Unhandled-Exceptions,code snippet injection
331,5,Unhandled-Exceptions,code snippet injection
327,3,Unhandled-Exceptions,code snippet injection
320,5,Unhandled-Exceptions,code snippet injection
310,9,Unhandled-Exceptions,code snippet injection
306,3,Unhandled-Exceptions,code snippet injection
164,8,Unhandled-Exceptions,code snippet injection
161,2,Unhandled-Exceptions,code snippet injection
156,3,Unhandled-Exceptions,code snippet injection
151,3,Unhandled-Exceptions,code snippet injection
147,3,Unhandled-Exceptions,code snippet injection
143,3,Unhandled-Exceptions,code snippet injection
136,6,Unhandled-Exceptions,code snippet injection
132,3,Unhandled-Exceptions,code snippet injection
123,8,Unhandled-Exceptions,code snippet injection
