loc,length,bug type,approach
401,9,Unhandled-Exceptions,code snippet injection
393,3,Unhandled-Exceptions,code snippet injection
385,3,Unhandled-Exceptions,code snippet injection
374,6,Unhandled-Exceptions,code snippet injection
366,3,Unhandled-Exceptions,code snippet injection
264,2,Unhandled-Exceptions,code snippet injection
258,3,Unhandled-Exceptions,code snippet injection
252,3,Unhandled-Exceptions,code snippet injection
244,5,Unhandled-Exceptions,code snippet injection
218,3,Unhandled-Exceptions,code snippet injection
208,3,Unhandled-Exceptions,code snippet injection
198,3,Unhandled-Exceptions,code snippet injection
189,2,Unhandled-Exceptions,code snippet injection
172,9,Unhandled-Exceptions,code snippet injection
160,8,Unhandled-Exceptions,code snippet injection
147,9,Unhandled-Exceptions,code snippet injection
139,3,Unhandled-Exceptions,code snippet injection
126,9,Unhandled-Exceptions,code snippet injection
118,5,Unhandled-Exceptions,code snippet injection
112,2,Unhandled-Exceptions,code snippet injection
103,6,Unhandled-Exceptions,code snippet injection
67,8,Unhandled-Exceptions,code snippet injection
57,5,Unhandled-Exceptions,code snippet injection
358,3,Unhandled-Exceptions,code snippet injection
354,3,Unhandled-Exceptions,code snippet injection
234,3,Unhandled-Exceptions,code snippet injection
230,3,Unhandled-Exceptions,code snippet injection
224,5,Unhandled-Exceptions,code snippet injection
94,5,Unhandled-Exceptions,code snippet injection
87,5,Unhandled-Exceptions,code snippet injection
80,5,Unhandled-Exceptions,code snippet injection
