loc,length,bug type,approach
952,9,Unhandled-Exceptions,code snippet injection
948,3,Unhandled-Exceptions,code snippet injection
746,3,Unhandled-Exceptions,code snippet injection
164,6,Unhandled-Exceptions,code snippet injection
160,3,Unhandled-Exceptions,code snippet injection
157,2,Unhandled-Exceptions,code snippet injection
127,3,Unhandled-Exceptions,code snippet injection
37,3,Unhandled-Exceptions,code snippet injection
31,5,Unhandled-Exceptions,code snippet injection
26,3,Unhandled-Exceptions,code snippet injection
22,3,Unhandled-Exceptions,code snippet injection
18,3,Unhandled-Exceptions,code snippet injection
1030,2,Unhandled-Exceptions,code snippet injection
1009,9,Unhandled-Exceptions,code snippet injection
984,8,Unhandled-Exceptions,code snippet injection
969,9,Unhandled-Exceptions,code snippet injection
930,3,Unhandled-Exceptions,code snippet injection
913,9,Unhandled-Exceptions,code snippet injection
901,5,Unhandled-Exceptions,code snippet injection
889,2,Unhandled-Exceptions,code snippet injection
865,6,Unhandled-Exceptions,code snippet injection
798,8,Unhandled-Exceptions,code snippet injection
787,5,Unhandled-Exceptions,code snippet injection
774,3,Unhandled-Exceptions,code snippet injection
765,3,Unhandled-Exceptions,code snippet injection
756,3,Unhandled-Exceptions,code snippet injection
624,3,Unhandled-Exceptions,code snippet injection
580,5,Unhandled-Exceptions,code snippet injection
571,5,Unhandled-Exceptions,code snippet injection
545,5,Unhandled-Exceptions,code snippet injection
535,5,Unhandled-Exceptions,code snippet injection
525,3,Unhandled-Exceptions,code snippet injection
516,5,Unhandled-Exceptions,code snippet injection
501,9,Unhandled-Exceptions,code snippet injection
493,3,Unhandled-Exceptions,code snippet injection
478,8,Unhandled-Exceptions,code snippet injection
472,2,Unhandled-Exceptions,code snippet injection
461,3,Unhandled-Exceptions,code snippet injection
448,3,Unhandled-Exceptions,code snippet injection
440,3,Unhandled-Exceptions,code snippet injection
432,3,Unhandled-Exceptions,code snippet injection
419,6,Unhandled-Exceptions,code snippet injection
411,3,Unhandled-Exceptions,code snippet injection
396,8,Unhandled-Exceptions,code snippet injection
381,9,Unhandled-Exceptions,code snippet injection
365,9,Unhandled-Exceptions,code snippet injection
352,9,Unhandled-Exceptions,code snippet injection
287,6,Unhandled-Exceptions,code snippet injection
