loc,length,bug type,approach
1214,9,Unhandled-Exceptions,code snippet injection
1210,3,Unhandled-Exceptions,code snippet injection
218,3,Unhandled-Exceptions,code snippet injection
207,6,Unhandled-Exceptions,code snippet injection
159,3,Unhandled-Exceptions,code snippet injection
156,2,Unhandled-Exceptions,code snippet injection
118,3,Unhandled-Exceptions,code snippet injection
114,3,Unhandled-Exceptions,code snippet injection
74,5,Unhandled-Exceptions,code snippet injection
70,3,Unhandled-Exceptions,code snippet injection
1297,3,Unhandled-Exceptions,code snippet injection
1288,3,Unhandled-Exceptions,code snippet injection
1277,2,Unhandled-Exceptions,code snippet injection
1264,9,Unhandled-Exceptions,code snippet injection
1231,8,Unhandled-Exceptions,code snippet injection
1184,9,Unhandled-Exceptions,code snippet injection
1176,3,Unhandled-Exceptions,code snippet injection
1162,9,Unhandled-Exceptions,code snippet injection
1149,5,Unhandled-Exceptions,code snippet injection
1106,2,Unhandled-Exceptions,code snippet injection
1078,6,Unhandled-Exceptions,code snippet injection
1051,8,Unhandled-Exceptions,code snippet injection
1031,5,Unhandled-Exceptions,code snippet injection
1021,3,Unhandled-Exceptions,code snippet injection
1002,3,Unhandled-Exceptions,code snippet injection
981,3,Unhandled-Exceptions,code snippet injection
962,3,Unhandled-Exceptions,code snippet injection
941,5,Unhandled-Exceptions,code snippet injection
925,5,Unhandled-Exceptions,code snippet injection
899,5,Unhandled-Exceptions,code snippet injection
873,5,Unhandled-Exceptions,code snippet injection
851,3,Unhandled-Exceptions,code snippet injection
821,5,Unhandled-Exceptions,code snippet injection
793,9,Unhandled-Exceptions,code snippet injection
773,3,Unhandled-Exceptions,code snippet injection
747,8,Unhandled-Exceptions,code snippet injection
733,2,Unhandled-Exceptions,code snippet injection
723,3,Unhandled-Exceptions,code snippet injection
707,3,Unhandled-Exceptions,code snippet injection
697,3,Unhandled-Exceptions,code snippet injection
687,3,Unhandled-Exceptions,code snippet injection
664,6,Unhandled-Exceptions,code snippet injection
653,3,Unhandled-Exceptions,code snippet injection
638,8,Unhandled-Exceptions,code snippet injection
295,9,Unhandled-Exceptions,code snippet injection
278,9,Unhandled-Exceptions,code snippet injection
245,9,Unhandled-Exceptions,code snippet injection
232,6,Unhandled-Exceptions,code snippet injection
