loc,length,bug type,approach
329,9,Unhandled-Exceptions,code snippet injection
223,3,Unhandled-Exceptions,code snippet injection
217,3,Unhandled-Exceptions,code snippet injection
208,6,Unhandled-Exceptions,code snippet injection
202,3,Unhandled-Exceptions,code snippet injection
172,2,Unhandled-Exceptions,code snippet injection
162,3,Unhandled-Exceptions,code snippet injection
152,3,Unhandled-Exceptions,code snippet injection
140,5,Unhandled-Exceptions,code snippet injection
129,3,Unhandled-Exceptions,code snippet injection
122,3,Unhandled-Exceptions,code snippet injection
115,3,Unhandled-Exceptions,code snippet injection
108,2,Unhandled-Exceptions,code snippet injection
95,9,Unhandled-Exceptions,code snippet injection
84,8,Unhandled-Exceptions,code snippet injection
71,9,Unhandled-Exceptions,code snippet injection
65,3,Unhandled-Exceptions,code snippet injection
34,9,Unhandled-Exceptions,code snippet injection
24,5,Unhandled-Exceptions,code snippet injection
321,2,Unhandled-Exceptions,code snippet injection
314,6,Unhandled-Exceptions,code snippet injection
187,8,Unhandled-Exceptions,code snippet injection
181,5,Unhandled-Exceptions,code snippet injection
177,3,Unhandled-Exceptions,code snippet injection
58,3,Unhandled-Exceptions,code snippet injection
53,3,Unhandled-Exceptions,code snippet injection
48,3,Unhandled-Exceptions,code snippet injection
