loc,length,bug type,approach
53,9,Unhandled-Exceptions,code snippet injection
49,3,Unhandled-Exceptions,code snippet injection
532,3,Unhandled-Exceptions,code snippet injection
508,6,Unhandled-Exceptions,code snippet injection
487,3,Unhandled-Exceptions,code snippet injection
278,2,Unhandled-Exceptions,code snippet injection
270,3,Unhandled-Exceptions,code snippet injection
253,3,Unhandled-Exceptions,code snippet injection
233,5,Unhandled-Exceptions,code snippet injection
214,3,Unhandled-Exceptions,code snippet injection
144,3,Unhandled-Exceptions,code snippet injection
134,3,Unhandled-Exceptions,code snippet injection
126,2,Unhandled-Exceptions,code snippet injection
111,9,Unhandled-Exceptions,code snippet injection
96,8,Unhandled-Exceptions,code snippet injection
77,9,Unhandled-Exceptions,code snippet injection
461,3,Unhandled-Exceptions,code snippet injection
448,9,Unhandled-Exceptions,code snippet injection
439,5,Unhandled-Exceptions,code snippet injection
72,2,Unhandled-Exceptions,code snippet injection
