loc,length,bug type,approach
1328,9,Unhandled-Exceptions,code snippet injection
1200,3,Unhandled-Exceptions,code snippet injection
218,3,Unhandled-Exceptions,code snippet injection
207,6,Unhandled-Exceptions,code snippet injection
159,3,Unhandled-Exceptions,code snippet injection
156,2,Unhandled-Exceptions,code snippet injection
118,3,Unhandled-Exceptions,code snippet injection
114,3,Unhandled-Exceptions,code snippet injection
74,5,Unhandled-Exceptions,code snippet injection
70,3,Unhandled-Exceptions,code snippet injection
1396,3,Unhandled-Exceptions,code snippet injection
1379,3,Unhandled-Exceptions,code snippet injection
1373,2,Unhandled-Exceptions,code snippet injection
1343,9,Unhandled-Exceptions,code snippet injection
1290,8,Unhandled-Exceptions,code snippet injection
1267,9,Unhandled-Exceptions,code snippet injection
1260,3,Unhandled-Exceptions,code snippet injection
1220,9,Unhandled-Exceptions,code snippet injection
1171,5,Unhandled-Exceptions,code snippet injection
1165,2,Unhandled-Exceptions,code snippet injection
1155,6,Unhandled-Exceptions,code snippet injection
1143,8,Unhandled-Exceptions,code snippet injection
1131,5,Unhandled-Exceptions,code snippet injection
1084,3,Unhandled-Exceptions,code snippet injection
1059,3,Unhandled-Exceptions,code snippet injection
1037,3,Unhandled-Exceptions,code snippet injection
1019,3,Unhandled-Exceptions,code snippet injection
1007,5,Unhandled-Exceptions,code snippet injection
986,5,Unhandled-Exceptions,code snippet injection
963,5,Unhandled-Exceptions,code snippet injection
942,5,Unhandled-Exceptions,code snippet injection
923,3,Unhandled-Exceptions,code snippet injection
907,5,Unhandled-Exceptions,code snippet injection
877,9,Unhandled-Exceptions,code snippet injection
853,3,Unhandled-Exceptions,code snippet injection
826,8,Unhandled-Exceptions,code snippet injection
799,2,Unhandled-Exceptions,code snippet injection
777,3,Unhandled-Exceptions,code snippet injection
757,3,Unhandled-Exceptions,code snippet injection
736,3,Unhandled-Exceptions,code snippet injection
721,3,Unhandled-Exceptions,code snippet injection
708,6,Unhandled-Exceptions,code snippet injection
692,3,Unhandled-Exceptions,code snippet injection
677,8,Unhandled-Exceptions,code snippet injection
661,9,Unhandled-Exceptions,code snippet injection
635,9,Unhandled-Exceptions,code snippet injection
618,9,Unhandled-Exceptions,code snippet injection
605,6,Unhandled-Exceptions,code snippet injection
