loc,length,bug type,approach
587,9,Unhandled-Exceptions,code snippet injection
301,3,Unhandled-Exceptions,code snippet injection
288,3,Unhandled-Exceptions,code snippet injection
276,6,Unhandled-Exceptions,code snippet injection
265,3,Unhandled-Exceptions,code snippet injection
241,2,Unhandled-Exceptions,code snippet injection
1015,3,Unhandled-Exceptions,code snippet injection
991,3,Unhandled-Exceptions,code snippet injection
975,5,Unhandled-Exceptions,code snippet injection
966,3,Unhandled-Exceptions,code snippet injection
959,3,Unhandled-Exceptions,code snippet injection
950,3,Unhandled-Exceptions,code snippet injection
923,2,Unhandled-Exceptions,code snippet injection
904,9,Unhandled-Exceptions,code snippet injection
892,8,Unhandled-Exceptions,code snippet injection
863,9,Unhandled-Exceptions,code snippet injection
855,3,Unhandled-Exceptions,code snippet injection
841,9,Unhandled-Exceptions,code snippet injection
830,5,Unhandled-Exceptions,code snippet injection
823,2,Unhandled-Exceptions,code snippet injection
812,6,Unhandled-Exceptions,code snippet injection
800,8,Unhandled-Exceptions,code snippet injection
789,5,Unhandled-Exceptions,code snippet injection
781,3,Unhandled-Exceptions,code snippet injection
753,3,Unhandled-Exceptions,code snippet injection
725,3,Unhandled-Exceptions,code snippet injection
706,3,Unhandled-Exceptions,code snippet injection
691,5,Unhandled-Exceptions,code snippet injection
641,5,Unhandled-Exceptions,code snippet injection
623,5,Unhandled-Exceptions,code snippet injection
606,5,Unhandled-Exceptions,code snippet injection
538,3,Unhandled-Exceptions,code snippet injection
527,5,Unhandled-Exceptions,code snippet injection
511,9,Unhandled-Exceptions,code snippet injection
501,3,Unhandled-Exceptions,code snippet injection
487,8,Unhandled-Exceptions,code snippet injection
479,2,Unhandled-Exceptions,code snippet injection
470,3,Unhandled-Exceptions,code snippet injection
461,3,Unhandled-Exceptions,code snippet injection
451,3,Unhandled-Exceptions,code snippet injection
443,3,Unhandled-Exceptions,code snippet injection
432,6,Unhandled-Exceptions,code snippet injection
424,3,Unhandled-Exceptions,code snippet injection
410,8,Unhandled-Exceptions,code snippet injection
395,9,Unhandled-Exceptions,code snippet injection
380,9,Unhandled-Exceptions,code snippet injection
360,9,Unhandled-Exceptions,code snippet injection
351,6,Unhandled-Exceptions,code snippet injection
