loc,length,bug type,approach
208,9,Unhandled-Exceptions,code snippet injection
204,3,Unhandled-Exceptions,code snippet injection
200,3,Unhandled-Exceptions,code snippet injection
193,6,Unhandled-Exceptions,code snippet injection
189,3,Unhandled-Exceptions,code snippet injection
186,2,Unhandled-Exceptions,code snippet injection
464,3,Unhandled-Exceptions,code snippet injection
455,3,Unhandled-Exceptions,code snippet injection
446,5,Unhandled-Exceptions,code snippet injection
433,3,Unhandled-Exceptions,code snippet injection
418,3,Unhandled-Exceptions,code snippet injection
383,3,Unhandled-Exceptions,code snippet injection
377,2,Unhandled-Exceptions,code snippet injection
105,9,Unhandled-Exceptions,code snippet injection
80,8,Unhandled-Exceptions,code snippet injection
57,9,Unhandled-Exceptions,code snippet injection
50,3,Unhandled-Exceptions,code snippet injection
175,9,Unhandled-Exceptions,code snippet injection
169,5,Unhandled-Exceptions,code snippet injection
166,2,Unhandled-Exceptions,code snippet injection
159,6,Unhandled-Exceptions,code snippet injection
149,8,Unhandled-Exceptions,code snippet injection
143,5,Unhandled-Exceptions,code snippet injection
139,3,Unhandled-Exceptions,code snippet injection
135,3,Unhandled-Exceptions,code snippet injection
130,3,Unhandled-Exceptions,code snippet injection
23,3,Unhandled-Exceptions,code snippet injection
16,5,Unhandled-Exceptions,code snippet injection
10,5,Unhandled-Exceptions,code snippet injection
