loc,length,bug type,approach
446,9,Unhandled-Exceptions,code snippet injection
442,3,Unhandled-Exceptions,code snippet injection
438,3,Unhandled-Exceptions,code snippet injection
300,6,Unhandled-Exceptions,code snippet injection
623,3,Unhandled-Exceptions,code snippet injection
610,2,Unhandled-Exceptions,code snippet injection
596,3,Unhandled-Exceptions,code snippet injection
589,3,Unhandled-Exceptions,code snippet injection
563,5,Unhandled-Exceptions,code snippet injection
532,3,Unhandled-Exceptions,code snippet injection
515,3,Unhandled-Exceptions,code snippet injection
464,3,Unhandled-Exceptions,code snippet injection
406,2,Unhandled-Exceptions,code snippet injection
387,9,Unhandled-Exceptions,code snippet injection
371,8,Unhandled-Exceptions,code snippet injection
350,9,Unhandled-Exceptions,code snippet injection
332,3,Unhandled-Exceptions,code snippet injection
316,9,Unhandled-Exceptions,code snippet injection
480,5,Unhandled-Exceptions,code snippet injection
457,2,Unhandled-Exceptions,code snippet injection
430,6,Unhandled-Exceptions,code snippet injection
421,8,Unhandled-Exceptions,code snippet injection
415,5,Unhandled-Exceptions,code snippet injection
295,3,Unhandled-Exceptions,code snippet injection
