loc,length,bug type,approach
96,9,Unhandled-Exceptions,code snippet injection
92,3,Unhandled-Exceptions,code snippet injection
88,3,Unhandled-Exceptions,code snippet injection
238,6,Unhandled-Exceptions,code snippet injection
225,3,Unhandled-Exceptions,code snippet injection
194,2,Unhandled-Exceptions,code snippet injection
183,3,Unhandled-Exceptions,code snippet injection
172,3,Unhandled-Exceptions,code snippet injection
161,5,Unhandled-Exceptions,code snippet injection
154,3,Unhandled-Exceptions,code snippet injection
146,3,Unhandled-Exceptions,code snippet injection
136,3,Unhandled-Exceptions,code snippet injection
126,2,Unhandled-Exceptions,code snippet injection
112,9,Unhandled-Exceptions,code snippet injection
21,8,Unhandled-Exceptions,code snippet injection
76,9,Unhandled-Exceptions,code snippet injection
72,3,Unhandled-Exceptions,code snippet injection
62,9,Unhandled-Exceptions,code snippet injection
56,5,Unhandled-Exceptions,code snippet injection
52,2,Unhandled-Exceptions,code snippet injection
45,6,Unhandled-Exceptions,code snippet injection
35,8,Unhandled-Exceptions,code snippet injection
29,5,Unhandled-Exceptions,code snippet injection
