loc,length,bug type,approach
358,9,Unhandled-Exceptions,code snippet injection
350,3,Unhandled-Exceptions,code snippet injection
342,3,Unhandled-Exceptions,code snippet injection
331,6,Unhandled-Exceptions,code snippet injection
323,3,Unhandled-Exceptions,code snippet injection
225,2,Unhandled-Exceptions,code snippet injection
219,3,Unhandled-Exceptions,code snippet injection
213,3,Unhandled-Exceptions,code snippet injection
205,5,Unhandled-Exceptions,code snippet injection
179,3,Unhandled-Exceptions,code snippet injection
169,3,Unhandled-Exceptions,code snippet injection
159,3,Unhandled-Exceptions,code snippet injection
150,2,Unhandled-Exceptions,code snippet injection
133,9,Unhandled-Exceptions,code snippet injection
121,8,Unhandled-Exceptions,code snippet injection
108,9,Unhandled-Exceptions,code snippet injection
100,3,Unhandled-Exceptions,code snippet injection
87,9,Unhandled-Exceptions,code snippet injection
79,5,Unhandled-Exceptions,code snippet injection
73,2,Unhandled-Exceptions,code snippet injection
64,6,Unhandled-Exceptions,code snippet injection
29,8,Unhandled-Exceptions,code snippet injection
20,5,Unhandled-Exceptions,code snippet injection
315,3,Unhandled-Exceptions,code snippet injection
311,3,Unhandled-Exceptions,code snippet injection
195,3,Unhandled-Exceptions,code snippet injection
191,3,Unhandled-Exceptions,code snippet injection
185,5,Unhandled-Exceptions,code snippet injection
55,5,Unhandled-Exceptions,code snippet injection
48,5,Unhandled-Exceptions,code snippet injection
41,5,Unhandled-Exceptions,code snippet injection
