loc,length,bug type,approach
388,9,Unhandled-Exceptions,code snippet injection
380,3,Unhandled-Exceptions,code snippet injection
372,3,Unhandled-Exceptions,code snippet injection
361,6,Unhandled-Exceptions,code snippet injection
353,3,Unhandled-Exceptions,code snippet injection
250,2,Unhandled-Exceptions,code snippet injection
244,3,Unhandled-Exceptions,code snippet injection
238,3,Unhandled-Exceptions,code snippet injection
230,5,Unhandled-Exceptions,code snippet injection
202,3,Unhandled-Exceptions,code snippet injection
193,3,Unhandled-Exceptions,code snippet injection
183,3,Unhandled-Exceptions,code snippet injection
174,2,Unhandled-Exceptions,code snippet injection
158,9,Unhandled-Exceptions,code snippet injection
142,8,Unhandled-Exceptions,code snippet injection
129,9,Unhandled-Exceptions,code snippet injection
122,3,Unhandled-Exceptions,code snippet injection
108,9,Unhandled-Exceptions,code snippet injection
99,5,Unhandled-Exceptions,code snippet injection
94,2,Unhandled-Exceptions,code snippet injection
84,6,Unhandled-Exceptions,code snippet injection
73,8,Unhandled-Exceptions,code snippet injection
42,5,Unhandled-Exceptions,code snippet injection
34,3,Unhandled-Exceptions,code snippet injection
344,3,Unhandled-Exceptions,code snippet injection
340,3,Unhandled-Exceptions,code snippet injection
220,3,Unhandled-Exceptions,code snippet injection
214,5,Unhandled-Exceptions,code snippet injection
208,5,Unhandled-Exceptions,code snippet injection
64,5,Unhandled-Exceptions,code snippet injection
57,5,Unhandled-Exceptions,code snippet injection
52,3,Unhandled-Exceptions,code snippet injection
