loc,length,bug type,approach
365,9,Unhandled-Exceptions,code snippet injection
357,3,Unhandled-Exceptions,code snippet injection
349,3,Unhandled-Exceptions,code snippet injection
338,6,Unhandled-Exceptions,code snippet injection
330,3,Unhandled-Exceptions,code snippet injection
227,2,Unhandled-Exceptions,code snippet injection
221,3,Unhandled-Exceptions,code snippet injection
215,3,Unhandled-Exceptions,code snippet injection
207,5,Unhandled-Exceptions,code snippet injection
181,3,Unhandled-Exceptions,code snippet injection
171,3,Unhandled-Exceptions,code snippet injection
161,3,Unhandled-Exceptions,code snippet injection
152,2,Unhandled-Exceptions,code snippet injection
135,9,Unhandled-Exceptions,code snippet injection
123,8,Unhandled-Exceptions,code snippet injection
110,9,Unhandled-Exceptions,code snippet injection
102,3,Unhandled-Exceptions,code snippet injection
89,9,Unhandled-Exceptions,code snippet injection
81,5,Unhandled-Exceptions,code snippet injection
75,2,Unhandled-Exceptions,code snippet injection
66,6,Unhandled-Exceptions,code snippet injection
30,8,Unhandled-Exceptions,code snippet injection
20,5,Unhandled-Exceptions,code snippet injection
321,3,Unhandled-Exceptions,code snippet injection
317,3,Unhandled-Exceptions,code snippet injection
197,3,Unhandled-Exceptions,code snippet injection
193,3,Unhandled-Exceptions,code snippet injection
187,5,Unhandled-Exceptions,code snippet injection
57,5,Unhandled-Exceptions,code snippet injection
50,5,Unhandled-Exceptions,code snippet injection
43,5,Unhandled-Exceptions,code snippet injection
