loc,length,bug type,approach
238,9,Unhandled-Exceptions,code snippet injection
234,3,Unhandled-Exceptions,code snippet injection
230,3,Unhandled-Exceptions,code snippet injection
223,6,Unhandled-Exceptions,code snippet injection
219,3,Unhandled-Exceptions,code snippet injection
216,2,Unhandled-Exceptions,code snippet injection
423,3,Unhandled-Exceptions,code snippet injection
415,3,Unhandled-Exceptions,code snippet injection
383,5,Unhandled-Exceptions,code snippet injection
371,3,Unhandled-Exceptions,code snippet injection
357,3,Unhandled-Exceptions,code snippet injection
347,3,Unhandled-Exceptions,code snippet injection
337,2,Unhandled-Exceptions,code snippet injection
319,9,Unhandled-Exceptions,code snippet injection
309,8,Unhandled-Exceptions,code snippet injection
290,9,Unhandled-Exceptions,code snippet injection
285,3,Unhandled-Exceptions,code snippet injection
275,9,Unhandled-Exceptions,code snippet injection
269,5,Unhandled-Exceptions,code snippet injection
265,2,Unhandled-Exceptions,code snippet injection
258,6,Unhandled-Exceptions,code snippet injection
249,8,Unhandled-Exceptions,code snippet injection
