loc,length,bug type,approach
357,9,Unhandled-Exceptions,code snippet injection
349,3,Unhandled-Exceptions,code snippet injection
339,3,Unhandled-Exceptions,code snippet injection
329,6,Unhandled-Exceptions,code snippet injection
318,3,Unhandled-Exceptions,code snippet injection
310,2,Unhandled-Exceptions,code snippet injection
292,3,Unhandled-Exceptions,code snippet injection
284,3,Unhandled-Exceptions,code snippet injection
274,5,Unhandled-Exceptions,code snippet injection
265,3,Unhandled-Exceptions,code snippet injection
257,3,Unhandled-Exceptions,code snippet injection
250,3,Unhandled-Exceptions,code snippet injection
243,2,Unhandled-Exceptions,code snippet injection
230,9,Unhandled-Exceptions,code snippet injection
218,8,Unhandled-Exceptions,code snippet injection
169,9,Unhandled-Exceptions,code snippet injection
162,3,Unhandled-Exceptions,code snippet injection
149,9,Unhandled-Exceptions,code snippet injection
140,5,Unhandled-Exceptions,code snippet injection
111,2,Unhandled-Exceptions,code snippet injection
100,6,Unhandled-Exceptions,code snippet injection
87,8,Unhandled-Exceptions,code snippet injection
208,5,Unhandled-Exceptions,code snippet injection
203,3,Unhandled-Exceptions,code snippet injection
199,3,Unhandled-Exceptions,code snippet injection
195,3,Unhandled-Exceptions,code snippet injection
190,3,Unhandled-Exceptions,code snippet injection
184,5,Unhandled-Exceptions,code snippet injection
128,5,Unhandled-Exceptions,code snippet injection
122,5,Unhandled-Exceptions,code snippet injection
116,5,Unhandled-Exceptions,code snippet injection
