loc,length,bug type,approach
638,9,Unhandled-Exceptions,code snippet injection
634,3,Unhandled-Exceptions,code snippet injection
630,3,Unhandled-Exceptions,code snippet injection
623,6,Unhandled-Exceptions,code snippet injection
619,3,Unhandled-Exceptions,code snippet injection
616,2,Unhandled-Exceptions,code snippet injection
612,3,Unhandled-Exceptions,code snippet injection
608,3,Unhandled-Exceptions,code snippet injection
602,5,Unhandled-Exceptions,code snippet injection
559,3,Unhandled-Exceptions,code snippet injection
549,3,Unhandled-Exceptions,code snippet injection
538,3,Unhandled-Exceptions,code snippet injection
529,2,Unhandled-Exceptions,code snippet injection
513,9,Unhandled-Exceptions,code snippet injection
497,8,Unhandled-Exceptions,code snippet injection
480,9,Unhandled-Exceptions,code snippet injection
468,3,Unhandled-Exceptions,code snippet injection
448,9,Unhandled-Exceptions,code snippet injection
433,5,Unhandled-Exceptions,code snippet injection
407,2,Unhandled-Exceptions,code snippet injection
389,6,Unhandled-Exceptions,code snippet injection
366,8,Unhandled-Exceptions,code snippet injection
339,5,Unhandled-Exceptions,code snippet injection
325,3,Unhandled-Exceptions,code snippet injection
311,3,Unhandled-Exceptions,code snippet injection
277,3,Unhandled-Exceptions,code snippet injection
262,3,Unhandled-Exceptions,code snippet injection
235,5,Unhandled-Exceptions,code snippet injection
229,5,Unhandled-Exceptions,code snippet injection
223,5,Unhandled-Exceptions,code snippet injection
215,5,Unhandled-Exceptions,code snippet injection
211,3,Unhandled-Exceptions,code snippet injection
205,5,Unhandled-Exceptions,code snippet injection
195,9,Unhandled-Exceptions,code snippet injection
191,3,Unhandled-Exceptions,code snippet injection
182,8,Unhandled-Exceptions,code snippet injection
179,2,Unhandled-Exceptions,code snippet injection
175,3,Unhandled-Exceptions,code snippet injection
