loc,length,bug type,approach
706,9,Unhandled-Exceptions,code snippet injection
697,3,Unhandled-Exceptions,code snippet injection
689,3,Unhandled-Exceptions,code snippet injection
676,6,Unhandled-Exceptions,code snippet injection
668,3,Unhandled-Exceptions,code snippet injection
644,2,Unhandled-Exceptions,code snippet injection
636,3,Unhandled-Exceptions,code snippet injection
630,3,Unhandled-Exceptions,code snippet injection
993,5,Unhandled-Exceptions,code snippet injection
981,3,Unhandled-Exceptions,code snippet injection
963,3,Unhandled-Exceptions,code snippet injection
947,3,Unhandled-Exceptions,code snippet injection
933,2,Unhandled-Exceptions,code snippet injection
913,9,Unhandled-Exceptions,code snippet injection
851,8,Unhandled-Exceptions,code snippet injection
841,9,Unhandled-Exceptions,code snippet injection
837,3,Unhandled-Exceptions,code snippet injection
827,9,Unhandled-Exceptions,code snippet injection
821,5,Unhandled-Exceptions,code snippet injection
818,2,Unhandled-Exceptions,code snippet injection
809,6,Unhandled-Exceptions,code snippet injection
800,8,Unhandled-Exceptions,code snippet injection
794,5,Unhandled-Exceptions,code snippet injection
790,3,Unhandled-Exceptions,code snippet injection
786,3,Unhandled-Exceptions,code snippet injection
780,3,Unhandled-Exceptions,code snippet injection
776,3,Unhandled-Exceptions,code snippet injection
770,5,Unhandled-Exceptions,code snippet injection
764,5,Unhandled-Exceptions,code snippet injection
758,5,Unhandled-Exceptions,code snippet injection
752,5,Unhandled-Exceptions,code snippet injection
748,3,Unhandled-Exceptions,code snippet injection
742,5,Unhandled-Exceptions,code snippet injection
732,9,Unhandled-Exceptions,code snippet injection
728,3,Unhandled-Exceptions,code snippet injection
719,8,Unhandled-Exceptions,code snippet injection
876,2,Unhandled-Exceptions,code snippet injection
865,3,Unhandled-Exceptions,code snippet injection
618,3,Unhandled-Exceptions,code snippet injection
606,3,Unhandled-Exceptions,code snippet injection
600,3,Unhandled-Exceptions,code snippet injection
585,6,Unhandled-Exceptions,code snippet injection
564,3,Unhandled-Exceptions,code snippet injection
555,8,Unhandled-Exceptions,code snippet injection
542,9,Unhandled-Exceptions,code snippet injection
531,9,Unhandled-Exceptions,code snippet injection
520,9,Unhandled-Exceptions,code snippet injection
512,6,Unhandled-Exceptions,code snippet injection
