loc,length,bug type,approach
365,9,Unhandled-Exceptions,code snippet injection
495,3,Unhandled-Exceptions,code snippet injection
483,3,Unhandled-Exceptions,code snippet injection
461,6,Unhandled-Exceptions,code snippet injection
454,3,Unhandled-Exceptions,code snippet injection
436,2,Unhandled-Exceptions,code snippet injection
403,3,Unhandled-Exceptions,code snippet injection
396,3,Unhandled-Exceptions,code snippet injection
386,5,Unhandled-Exceptions,code snippet injection
379,3,Unhandled-Exceptions,code snippet injection
201,3,Unhandled-Exceptions,code snippet injection
194,3,Unhandled-Exceptions,code snippet injection
185,2,Unhandled-Exceptions,code snippet injection
169,9,Unhandled-Exceptions,code snippet injection
154,8,Unhandled-Exceptions,code snippet injection
137,9,Unhandled-Exceptions,code snippet injection
130,3,Unhandled-Exceptions,code snippet injection
117,9,Unhandled-Exceptions,code snippet injection
107,5,Unhandled-Exceptions,code snippet injection
101,2,Unhandled-Exceptions,code snippet injection
92,6,Unhandled-Exceptions,code snippet injection
80,8,Unhandled-Exceptions,code snippet injection
72,5,Unhandled-Exceptions,code snippet injection
36,3,Unhandled-Exceptions,code snippet injection
28,3,Unhandled-Exceptions,code snippet injection
20,3,Unhandled-Exceptions,code snippet injection
360,3,Unhandled-Exceptions,code snippet injection
354,5,Unhandled-Exceptions,code snippet injection
347,5,Unhandled-Exceptions,code snippet injection
341,5,Unhandled-Exceptions,code snippet injection
335,5,Unhandled-Exceptions,code snippet injection
331,3,Unhandled-Exceptions,code snippet injection
325,5,Unhandled-Exceptions,code snippet injection
59,9,Unhandled-Exceptions,code snippet injection
54,3,Unhandled-Exceptions,code snippet injection
44,8,Unhandled-Exceptions,code snippet injection
