loc,length,bug type,approach
462,9,Unhandled-Exceptions,code snippet injection
454,3,Unhandled-Exceptions,code snippet injection
438,3,Unhandled-Exceptions,code snippet injection
414,6,Unhandled-Exceptions,code snippet injection
399,3,Unhandled-Exceptions,code snippet injection
383,2,Unhandled-Exceptions,code snippet injection
1319,3,Unhandled-Exceptions,code snippet injection
1288,3,Unhandled-Exceptions,code snippet injection
1244,5,Unhandled-Exceptions,code snippet injection
1214,3,Unhandled-Exceptions,code snippet injection
1173,3,Unhandled-Exceptions,code snippet injection
1149,3,Unhandled-Exceptions,code snippet injection
1128,2,Unhandled-Exceptions,code snippet injection
1108,9,Unhandled-Exceptions,code snippet injection
1063,8,Unhandled-Exceptions,code snippet injection
1031,9,Unhandled-Exceptions,code snippet injection
1011,3,Unhandled-Exceptions,code snippet injection
955,9,Unhandled-Exceptions,code snippet injection
940,5,Unhandled-Exceptions,code snippet injection
931,2,Unhandled-Exceptions,code snippet injection
916,6,Unhandled-Exceptions,code snippet injection
901,8,Unhandled-Exceptions,code snippet injection
889,5,Unhandled-Exceptions,code snippet injection
879,3,Unhandled-Exceptions,code snippet injection
869,3,Unhandled-Exceptions,code snippet injection
859,3,Unhandled-Exceptions,code snippet injection
849,3,Unhandled-Exceptions,code snippet injection
837,5,Unhandled-Exceptions,code snippet injection
825,5,Unhandled-Exceptions,code snippet injection
809,5,Unhandled-Exceptions,code snippet injection
790,5,Unhandled-Exceptions,code snippet injection
761,3,Unhandled-Exceptions,code snippet injection
692,5,Unhandled-Exceptions,code snippet injection
568,9,Unhandled-Exceptions,code snippet injection
544,3,Unhandled-Exceptions,code snippet injection
521,8,Unhandled-Exceptions,code snippet injection
359,2,Unhandled-Exceptions,code snippet injection
355,3,Unhandled-Exceptions,code snippet injection
351,3,Unhandled-Exceptions,code snippet injection
347,3,Unhandled-Exceptions,code snippet injection
343,3,Unhandled-Exceptions,code snippet injection
335,6,Unhandled-Exceptions,code snippet injection
331,3,Unhandled-Exceptions,code snippet injection
322,8,Unhandled-Exceptions,code snippet injection
312,9,Unhandled-Exceptions,code snippet injection
300,9,Unhandled-Exceptions,code snippet injection
290,9,Unhandled-Exceptions,code snippet injection
283,6,Unhandled-Exceptions,code snippet injection
