loc,length,bug type,approach
1507,1,Timestamp-Dependency,code snippet injection
58,1,Timestamp-Dependency,code snippet injection
51,1,Timestamp-Dependency,code snippet injection
1692,1,Timestamp-Dependency,code snippet injection
1597,1,Timestamp-Dependency,code snippet injection
1526,9,Timestamp-Dependency,code snippet injection
1460,4,Timestamp-Dependency,code snippet injection
1446,4,Timestamp-Dependency,code snippet injection
1433,3,Timestamp-Dependency,code snippet injection
1418,5,Timestamp-Dependency,code snippet injection
1404,4,Timestamp-Dependency,code snippet injection
1391,3,Timestamp-Dependency,code snippet injection
1376,5,Timestamp-Dependency,code snippet injection
1363,3,Timestamp-Dependency,code snippet injection
1348,5,Timestamp-Dependency,code snippet injection
1335,3,Timestamp-Dependency,code snippet injection
1320,5,Timestamp-Dependency,code snippet injection
1301,9,Timestamp-Dependency,code snippet injection
1287,4,Timestamp-Dependency,code snippet injection
1268,9,Timestamp-Dependency,code snippet injection
1036,5,Timestamp-Dependency,code snippet injection
173,9,Timestamp-Dependency,code snippet injection
165,5,Timestamp-Dependency,code snippet injection
134,5,Timestamp-Dependency,code snippet injection
122,4,Timestamp-Dependency,code snippet injection
112,3,Timestamp-Dependency,code snippet injection
96,9,Timestamp-Dependency,code snippet injection
85,3,Timestamp-Dependency,code snippet injection
68,4,Timestamp-Dependency,code snippet injection
1487,4,Timestamp-Dependency,code snippet injection
1163,4,Timestamp-Dependency,code snippet injection
1152,9,Timestamp-Dependency,code snippet injection
1145,5,Timestamp-Dependency,code snippet injection
1134,9,Timestamp-Dependency,code snippet injection
1128,4,Timestamp-Dependency,code snippet injection
1120,4,Timestamp-Dependency,code snippet injection
1113,5,Timestamp-Dependency,code snippet injection
1106,5,Timestamp-Dependency,code snippet injection
1101,3,Timestamp-Dependency,code snippet injection
1090,9,Timestamp-Dependency,code snippet injection
1083,3,Timestamp-Dependency,code snippet injection
1078,3,Timestamp-Dependency,code snippet injection
1067,9,Timestamp-Dependency,code snippet injection
1014,9,Timestamp-Dependency,code snippet injection
