loc,length,bug type,approach
193,1,Timestamp-Dependency,code snippet injection
362,1,Timestamp-Dependency,code snippet injection
260,1,Timestamp-Dependency,code snippet injection
255,1,Timestamp-Dependency,code snippet injection
250,1,Timestamp-Dependency,code snippet injection
237,9,Timestamp-Dependency,code snippet injection
202,4,Timestamp-Dependency,code snippet injection
184,4,Timestamp-Dependency,code snippet injection
173,3,Timestamp-Dependency,code snippet injection
160,5,Timestamp-Dependency,code snippet injection
147,4,Timestamp-Dependency,code snippet injection
139,3,Timestamp-Dependency,code snippet injection
129,5,Timestamp-Dependency,code snippet injection
120,3,Timestamp-Dependency,code snippet injection
110,5,Timestamp-Dependency,code snippet injection
103,3,Timestamp-Dependency,code snippet injection
93,5,Timestamp-Dependency,code snippet injection
80,9,Timestamp-Dependency,code snippet injection
43,4,Timestamp-Dependency,code snippet injection
29,9,Timestamp-Dependency,code snippet injection
353,5,Timestamp-Dependency,code snippet injection
221,9,Timestamp-Dependency,code snippet injection
215,5,Timestamp-Dependency,code snippet injection
209,5,Timestamp-Dependency,code snippet injection
71,4,Timestamp-Dependency,code snippet injection
66,3,Timestamp-Dependency,code snippet injection
55,9,Timestamp-Dependency,code snippet injection
51,3,Timestamp-Dependency,code snippet injection
