loc,length,bug type,approach
264,1,Timestamp-Dependency,code snippet injection
181,1,Timestamp-Dependency,code snippet injection
68,1,Timestamp-Dependency,code snippet injection
66,1,Timestamp-Dependency,code snippet injection
17,1,Timestamp-Dependency,code snippet injection
590,9,Timestamp-Dependency,code snippet injection
568,4,Timestamp-Dependency,code snippet injection
553,4,Timestamp-Dependency,code snippet injection
545,3,Timestamp-Dependency,code snippet injection
535,5,Timestamp-Dependency,code snippet injection
450,4,Timestamp-Dependency,code snippet injection
443,3,Timestamp-Dependency,code snippet injection
434,5,Timestamp-Dependency,code snippet injection
427,3,Timestamp-Dependency,code snippet injection
418,5,Timestamp-Dependency,code snippet injection
399,3,Timestamp-Dependency,code snippet injection
373,5,Timestamp-Dependency,code snippet injection
348,9,Timestamp-Dependency,code snippet injection
334,4,Timestamp-Dependency,code snippet injection
309,9,Timestamp-Dependency,code snippet injection
264,5,Timestamp-Dependency,code snippet injection
254,9,Timestamp-Dependency,code snippet injection
248,5,Timestamp-Dependency,code snippet injection
232,5,Timestamp-Dependency,code snippet injection
219,4,Timestamp-Dependency,code snippet injection
181,3,Timestamp-Dependency,code snippet injection
171,9,Timestamp-Dependency,code snippet injection
118,3,Timestamp-Dependency,code snippet injection
106,4,Timestamp-Dependency,code snippet injection
52,4,Timestamp-Dependency,code snippet injection
28,4,Timestamp-Dependency,code snippet injection
492,9,Timestamp-Dependency,code snippet injection
484,5,Timestamp-Dependency,code snippet injection
472,9,Timestamp-Dependency,code snippet injection
467,4,Timestamp-Dependency,code snippet injection
462,4,Timestamp-Dependency,code snippet injection
284,5,Timestamp-Dependency,code snippet injection
197,5,Timestamp-Dependency,code snippet injection
166,3,Timestamp-Dependency,code snippet injection
71,9,Timestamp-Dependency,code snippet injection
11,3,Timestamp-Dependency,code snippet injection
