loc,length,bug type,approach
306,1,Timestamp-Dependency,code snippet injection
165,1,Timestamp-Dependency,code snippet injection
65,1,Timestamp-Dependency,code snippet injection
137,1,Timestamp-Dependency,code snippet injection
92,1,Timestamp-Dependency,code snippet injection
532,9,Timestamp-Dependency,code snippet injection
520,4,Timestamp-Dependency,code snippet injection
511,4,Timestamp-Dependency,code snippet injection
503,3,Timestamp-Dependency,code snippet injection
493,5,Timestamp-Dependency,code snippet injection
452,4,Timestamp-Dependency,code snippet injection
432,3,Timestamp-Dependency,code snippet injection
406,5,Timestamp-Dependency,code snippet injection
387,3,Timestamp-Dependency,code snippet injection
372,5,Timestamp-Dependency,code snippet injection
353,3,Timestamp-Dependency,code snippet injection
306,5,Timestamp-Dependency,code snippet injection
296,9,Timestamp-Dependency,code snippet injection
291,4,Timestamp-Dependency,code snippet injection
278,9,Timestamp-Dependency,code snippet injection
253,5,Timestamp-Dependency,code snippet injection
230,9,Timestamp-Dependency,code snippet injection
216,5,Timestamp-Dependency,code snippet injection
195,5,Timestamp-Dependency,code snippet injection
165,4,Timestamp-Dependency,code snippet injection
161,3,Timestamp-Dependency,code snippet injection
151,9,Timestamp-Dependency,code snippet injection
144,3,Timestamp-Dependency,code snippet injection
125,4,Timestamp-Dependency,code snippet injection
114,4,Timestamp-Dependency,code snippet injection
103,4,Timestamp-Dependency,code snippet injection
75,9,Timestamp-Dependency,code snippet injection
478,5,Timestamp-Dependency,code snippet injection
467,9,Timestamp-Dependency,code snippet injection
462,4,Timestamp-Dependency,code snippet injection
330,4,Timestamp-Dependency,code snippet injection
182,5,Timestamp-Dependency,code snippet injection
176,5,Timestamp-Dependency,code snippet injection
60,3,Timestamp-Dependency,code snippet injection
50,9,Timestamp-Dependency,code snippet injection
