loc,length,bug type,approach
897,1,Timestamp-Dependency,code snippet injection
891,1,Timestamp-Dependency,code snippet injection
635,1,Timestamp-Dependency,code snippet injection
633,1,Timestamp-Dependency,code snippet injection
555,1,Timestamp-Dependency,code snippet injection
545,9,Timestamp-Dependency,code snippet injection
230,4,Timestamp-Dependency,code snippet injection
1072,4,Timestamp-Dependency,code snippet injection
1059,3,Timestamp-Dependency,code snippet injection
1039,5,Timestamp-Dependency,code snippet injection
1026,4,Timestamp-Dependency,code snippet injection
1010,3,Timestamp-Dependency,code snippet injection
997,5,Timestamp-Dependency,code snippet injection
979,3,Timestamp-Dependency,code snippet injection
961,5,Timestamp-Dependency,code snippet injection
950,3,Timestamp-Dependency,code snippet injection
911,5,Timestamp-Dependency,code snippet injection
839,9,Timestamp-Dependency,code snippet injection
833,4,Timestamp-Dependency,code snippet injection
811,9,Timestamp-Dependency,code snippet injection
799,5,Timestamp-Dependency,code snippet injection
783,9,Timestamp-Dependency,code snippet injection
771,5,Timestamp-Dependency,code snippet injection
748,5,Timestamp-Dependency,code snippet injection
740,4,Timestamp-Dependency,code snippet injection
733,3,Timestamp-Dependency,code snippet injection
720,9,Timestamp-Dependency,code snippet injection
713,3,Timestamp-Dependency,code snippet injection
699,4,Timestamp-Dependency,code snippet injection
687,4,Timestamp-Dependency,code snippet injection
659,4,Timestamp-Dependency,code snippet injection
643,9,Timestamp-Dependency,code snippet injection
621,5,Timestamp-Dependency,code snippet injection
605,9,Timestamp-Dependency,code snippet injection
595,4,Timestamp-Dependency,code snippet injection
587,4,Timestamp-Dependency,code snippet injection
578,5,Timestamp-Dependency,code snippet injection
564,5,Timestamp-Dependency,code snippet injection
536,3,Timestamp-Dependency,code snippet injection
514,9,Timestamp-Dependency,code snippet injection
497,3,Timestamp-Dependency,code snippet injection
479,3,Timestamp-Dependency,code snippet injection
453,9,Timestamp-Dependency,code snippet injection
428,9,Timestamp-Dependency,code snippet injection
401,3,Timestamp-Dependency,code snippet injection
