loc,length,bug type,approach
251,1,Timestamp-Dependency,code snippet injection
245,1,Timestamp-Dependency,code snippet injection
145,1,Timestamp-Dependency,code snippet injection
315,1,Timestamp-Dependency,code snippet injection
493,1,Timestamp-Dependency,code snippet injection
465,9,Timestamp-Dependency,code snippet injection
452,4,Timestamp-Dependency,code snippet injection
441,4,Timestamp-Dependency,code snippet injection
431,3,Timestamp-Dependency,code snippet injection
389,5,Timestamp-Dependency,code snippet injection
375,4,Timestamp-Dependency,code snippet injection
360,3,Timestamp-Dependency,code snippet injection
345,5,Timestamp-Dependency,code snippet injection
335,3,Timestamp-Dependency,code snippet injection
323,5,Timestamp-Dependency,code snippet injection
304,3,Timestamp-Dependency,code snippet injection
288,5,Timestamp-Dependency,code snippet injection
272,9,Timestamp-Dependency,code snippet injection
261,4,Timestamp-Dependency,code snippet injection
206,9,Timestamp-Dependency,code snippet injection
187,5,Timestamp-Dependency,code snippet injection
169,9,Timestamp-Dependency,code snippet injection
96,5,Timestamp-Dependency,code snippet injection
82,5,Timestamp-Dependency,code snippet injection
70,4,Timestamp-Dependency,code snippet injection
40,3,Timestamp-Dependency,code snippet injection
26,9,Timestamp-Dependency,code snippet injection
236,3,Timestamp-Dependency,code snippet injection
228,4,Timestamp-Dependency,code snippet injection
153,4,Timestamp-Dependency,code snippet injection
