loc,length,bug type,approach
228,1,Timestamp-Dependency,code snippet injection
226,1,Timestamp-Dependency,code snippet injection
224,1,Timestamp-Dependency,code snippet injection
222,1,Timestamp-Dependency,code snippet injection
219,1,Timestamp-Dependency,code snippet injection
209,9,Timestamp-Dependency,code snippet injection
490,4,Timestamp-Dependency,code snippet injection
473,4,Timestamp-Dependency,code snippet injection
459,3,Timestamp-Dependency,code snippet injection
427,5,Timestamp-Dependency,code snippet injection
419,4,Timestamp-Dependency,code snippet injection
412,3,Timestamp-Dependency,code snippet injection
403,5,Timestamp-Dependency,code snippet injection
396,3,Timestamp-Dependency,code snippet injection
387,5,Timestamp-Dependency,code snippet injection
380,3,Timestamp-Dependency,code snippet injection
371,5,Timestamp-Dependency,code snippet injection
357,9,Timestamp-Dependency,code snippet injection
346,4,Timestamp-Dependency,code snippet injection
325,9,Timestamp-Dependency,code snippet injection
313,5,Timestamp-Dependency,code snippet injection
298,9,Timestamp-Dependency,code snippet injection
288,5,Timestamp-Dependency,code snippet injection
275,5,Timestamp-Dependency,code snippet injection
259,4,Timestamp-Dependency,code snippet injection
252,3,Timestamp-Dependency,code snippet injection
239,9,Timestamp-Dependency,code snippet injection
203,3,Timestamp-Dependency,code snippet injection
179,4,Timestamp-Dependency,code snippet injection
174,4,Timestamp-Dependency,code snippet injection
169,4,Timestamp-Dependency,code snippet injection
158,9,Timestamp-Dependency,code snippet injection
152,5,Timestamp-Dependency,code snippet injection
142,9,Timestamp-Dependency,code snippet injection
137,4,Timestamp-Dependency,code snippet injection
132,4,Timestamp-Dependency,code snippet injection
126,5,Timestamp-Dependency,code snippet injection
