loc,length,bug type,approach
381,1,Timestamp-Dependency,code snippet injection
379,1,Timestamp-Dependency,code snippet injection
72,1,Timestamp-Dependency,code snippet injection
1116,1,Timestamp-Dependency,code snippet injection
1111,1,Timestamp-Dependency,code snippet injection
1098,9,Timestamp-Dependency,code snippet injection
1090,4,Timestamp-Dependency,code snippet injection
1082,4,Timestamp-Dependency,code snippet injection
1015,3,Timestamp-Dependency,code snippet injection
997,5,Timestamp-Dependency,code snippet injection
987,4,Timestamp-Dependency,code snippet injection
976,3,Timestamp-Dependency,code snippet injection
777,5,Timestamp-Dependency,code snippet injection
773,3,Timestamp-Dependency,code snippet injection
767,5,Timestamp-Dependency,code snippet injection
763,3,Timestamp-Dependency,code snippet injection
757,5,Timestamp-Dependency,code snippet injection
747,9,Timestamp-Dependency,code snippet injection
742,4,Timestamp-Dependency,code snippet injection
732,9,Timestamp-Dependency,code snippet injection
726,5,Timestamp-Dependency,code snippet injection
716,9,Timestamp-Dependency,code snippet injection
710,5,Timestamp-Dependency,code snippet injection
704,5,Timestamp-Dependency,code snippet injection
699,4,Timestamp-Dependency,code snippet injection
695,3,Timestamp-Dependency,code snippet injection
685,9,Timestamp-Dependency,code snippet injection
681,3,Timestamp-Dependency,code snippet injection
676,4,Timestamp-Dependency,code snippet injection
671,4,Timestamp-Dependency,code snippet injection
666,4,Timestamp-Dependency,code snippet injection
656,9,Timestamp-Dependency,code snippet injection
650,5,Timestamp-Dependency,code snippet injection
640,9,Timestamp-Dependency,code snippet injection
635,4,Timestamp-Dependency,code snippet injection
630,4,Timestamp-Dependency,code snippet injection
624,5,Timestamp-Dependency,code snippet injection
615,5,Timestamp-Dependency,code snippet injection
611,3,Timestamp-Dependency,code snippet injection
601,9,Timestamp-Dependency,code snippet injection
597,3,Timestamp-Dependency,code snippet injection
593,3,Timestamp-Dependency,code snippet injection
583,9,Timestamp-Dependency,code snippet injection
573,9,Timestamp-Dependency,code snippet injection
565,3,Timestamp-Dependency,code snippet injection
