loc,length,bug type,approach
441,1,Timestamp-Dependency,code snippet injection
435,1,Timestamp-Dependency,code snippet injection
429,1,Timestamp-Dependency,code snippet injection
423,1,Timestamp-Dependency,code snippet injection
417,1,Timestamp-Dependency,code snippet injection
307,9,Timestamp-Dependency,code snippet injection
300,4,Timestamp-Dependency,code snippet injection
293,4,Timestamp-Dependency,code snippet injection
287,3,Timestamp-Dependency,code snippet injection
253,5,Timestamp-Dependency,code snippet injection
242,4,Timestamp-Dependency,code snippet injection
232,3,Timestamp-Dependency,code snippet injection
219,5,Timestamp-Dependency,code snippet injection
198,3,Timestamp-Dependency,code snippet injection
189,5,Timestamp-Dependency,code snippet injection
182,3,Timestamp-Dependency,code snippet injection
172,5,Timestamp-Dependency,code snippet injection
159,9,Timestamp-Dependency,code snippet injection
152,4,Timestamp-Dependency,code snippet injection
139,9,Timestamp-Dependency,code snippet injection
131,5,Timestamp-Dependency,code snippet injection
118,9,Timestamp-Dependency,code snippet injection
108,5,Timestamp-Dependency,code snippet injection
99,5,Timestamp-Dependency,code snippet injection
90,4,Timestamp-Dependency,code snippet injection
34,3,Timestamp-Dependency,code snippet injection
20,9,Timestamp-Dependency,code snippet injection
409,3,Timestamp-Dependency,code snippet injection
404,4,Timestamp-Dependency,code snippet injection
276,4,Timestamp-Dependency,code snippet injection
271,4,Timestamp-Dependency,code snippet injection
261,9,Timestamp-Dependency,code snippet injection
79,5,Timestamp-Dependency,code snippet injection
69,9,Timestamp-Dependency,code snippet injection
64,4,Timestamp-Dependency,code snippet injection
59,4,Timestamp-Dependency,code snippet injection
53,5,Timestamp-Dependency,code snippet injection
47,5,Timestamp-Dependency,code snippet injection
42,3,Timestamp-Dependency,code snippet injection
