loc,length,bug type,approach
643,1,Timestamp-Dependency,code snippet injection
545,1,Timestamp-Dependency,code snippet injection
543,1,Timestamp-Dependency,code snippet injection
26,1,Timestamp-Dependency,code snippet injection
24,1,Timestamp-Dependency,code snippet injection
14,9,Timestamp-Dependency,code snippet injection
741,4,Timestamp-Dependency,code snippet injection
731,4,Timestamp-Dependency,code snippet injection
722,3,Timestamp-Dependency,code snippet injection
713,5,Timestamp-Dependency,code snippet injection
697,4,Timestamp-Dependency,code snippet injection
688,3,Timestamp-Dependency,code snippet injection
679,5,Timestamp-Dependency,code snippet injection
671,3,Timestamp-Dependency,code snippet injection
657,5,Timestamp-Dependency,code snippet injection
650,3,Timestamp-Dependency,code snippet injection
631,5,Timestamp-Dependency,code snippet injection
612,9,Timestamp-Dependency,code snippet injection
603,4,Timestamp-Dependency,code snippet injection
589,9,Timestamp-Dependency,code snippet injection
580,5,Timestamp-Dependency,code snippet injection
567,9,Timestamp-Dependency,code snippet injection
553,5,Timestamp-Dependency,code snippet injection
504,5,Timestamp-Dependency,code snippet injection
493,4,Timestamp-Dependency,code snippet injection
483,3,Timestamp-Dependency,code snippet injection
470,9,Timestamp-Dependency,code snippet injection
463,3,Timestamp-Dependency,code snippet injection
442,4,Timestamp-Dependency,code snippet injection
437,4,Timestamp-Dependency,code snippet injection
432,4,Timestamp-Dependency,code snippet injection
417,9,Timestamp-Dependency,code snippet injection
399,5,Timestamp-Dependency,code snippet injection
377,9,Timestamp-Dependency,code snippet injection
368,4,Timestamp-Dependency,code snippet injection
359,4,Timestamp-Dependency,code snippet injection
350,5,Timestamp-Dependency,code snippet injection
339,5,Timestamp-Dependency,code snippet injection
330,3,Timestamp-Dependency,code snippet injection
316,9,Timestamp-Dependency,code snippet injection
309,3,Timestamp-Dependency,code snippet injection
301,3,Timestamp-Dependency,code snippet injection
277,9,Timestamp-Dependency,code snippet injection
267,9,Timestamp-Dependency,code snippet injection
263,3,Timestamp-Dependency,code snippet injection
