loc,length,bug type,approach
743,1,Timestamp-Dependency,code snippet injection
741,1,Timestamp-Dependency,code snippet injection
536,1,Timestamp-Dependency,code snippet injection
575,1,Timestamp-Dependency,code snippet injection
838,1,Timestamp-Dependency,code snippet injection
816,9,Timestamp-Dependency,code snippet injection
795,4,Timestamp-Dependency,code snippet injection
784,4,Timestamp-Dependency,code snippet injection
771,3,Timestamp-Dependency,code snippet injection
753,5,Timestamp-Dependency,code snippet injection
689,4,Timestamp-Dependency,code snippet injection
680,3,Timestamp-Dependency,code snippet injection
623,5,Timestamp-Dependency,code snippet injection
611,3,Timestamp-Dependency,code snippet injection
598,5,Timestamp-Dependency,code snippet injection
583,3,Timestamp-Dependency,code snippet injection
562,5,Timestamp-Dependency,code snippet injection
546,9,Timestamp-Dependency,code snippet injection
527,4,Timestamp-Dependency,code snippet injection
507,9,Timestamp-Dependency,code snippet injection
481,5,Timestamp-Dependency,code snippet injection
453,9,Timestamp-Dependency,code snippet injection
431,5,Timestamp-Dependency,code snippet injection
403,5,Timestamp-Dependency,code snippet injection
380,4,Timestamp-Dependency,code snippet injection
360,3,Timestamp-Dependency,code snippet injection
333,9,Timestamp-Dependency,code snippet injection
318,3,Timestamp-Dependency,code snippet injection
307,4,Timestamp-Dependency,code snippet injection
290,4,Timestamp-Dependency,code snippet injection
279,4,Timestamp-Dependency,code snippet injection
40,9,Timestamp-Dependency,code snippet injection
30,5,Timestamp-Dependency,code snippet injection
16,9,Timestamp-Dependency,code snippet injection
735,4,Timestamp-Dependency,code snippet injection
725,4,Timestamp-Dependency,code snippet injection
718,5,Timestamp-Dependency,code snippet injection
712,5,Timestamp-Dependency,code snippet injection
708,3,Timestamp-Dependency,code snippet injection
698,9,Timestamp-Dependency,code snippet injection
668,3,Timestamp-Dependency,code snippet injection
664,3,Timestamp-Dependency,code snippet injection
654,9,Timestamp-Dependency,code snippet injection
643,9,Timestamp-Dependency,code snippet injection
639,3,Timestamp-Dependency,code snippet injection
