loc,length,bug type,approach
1219,1,Timestamp-Dependency,code snippet injection
1217,1,Timestamp-Dependency,code snippet injection
834,1,Timestamp-Dependency,code snippet injection
832,1,Timestamp-Dependency,code snippet injection
830,1,Timestamp-Dependency,code snippet injection
820,9,Timestamp-Dependency,code snippet injection
815,4,Timestamp-Dependency,code snippet injection
810,4,Timestamp-Dependency,code snippet injection
168,3,Timestamp-Dependency,code snippet injection
161,5,Timestamp-Dependency,code snippet injection
79,4,Timestamp-Dependency,code snippet injection
1383,3,Timestamp-Dependency,code snippet injection
1368,5,Timestamp-Dependency,code snippet injection
1354,3,Timestamp-Dependency,code snippet injection
1339,5,Timestamp-Dependency,code snippet injection
1316,3,Timestamp-Dependency,code snippet injection
1288,5,Timestamp-Dependency,code snippet injection
1002,9,Timestamp-Dependency,code snippet injection
993,4,Timestamp-Dependency,code snippet injection
983,9,Timestamp-Dependency,code snippet injection
968,5,Timestamp-Dependency,code snippet injection
943,9,Timestamp-Dependency,code snippet injection
917,5,Timestamp-Dependency,code snippet injection
897,5,Timestamp-Dependency,code snippet injection
881,4,Timestamp-Dependency,code snippet injection
862,3,Timestamp-Dependency,code snippet injection
846,9,Timestamp-Dependency,code snippet injection
692,3,Timestamp-Dependency,code snippet injection
676,4,Timestamp-Dependency,code snippet injection
643,4,Timestamp-Dependency,code snippet injection
630,4,Timestamp-Dependency,code snippet injection
605,9,Timestamp-Dependency,code snippet injection
586,5,Timestamp-Dependency,code snippet injection
563,9,Timestamp-Dependency,code snippet injection
544,4,Timestamp-Dependency,code snippet injection
526,4,Timestamp-Dependency,code snippet injection
503,5,Timestamp-Dependency,code snippet injection
480,5,Timestamp-Dependency,code snippet injection
462,3,Timestamp-Dependency,code snippet injection
436,9,Timestamp-Dependency,code snippet injection
423,3,Timestamp-Dependency,code snippet injection
410,3,Timestamp-Dependency,code snippet injection
392,9,Timestamp-Dependency,code snippet injection
328,9,Timestamp-Dependency,code snippet injection
309,3,Timestamp-Dependency,code snippet injection
