loc,length,bug type,approach
329,1,Timestamp-Dependency,code snippet injection
219,1,Timestamp-Dependency,code snippet injection
215,1,Timestamp-Dependency,code snippet injection
211,1,Timestamp-Dependency,code snippet injection
207,1,Timestamp-Dependency,code snippet injection
167,9,Timestamp-Dependency,code snippet injection
156,4,Timestamp-Dependency,code snippet injection
145,4,Timestamp-Dependency,code snippet injection
135,3,Timestamp-Dependency,code snippet injection
122,5,Timestamp-Dependency,code snippet injection
114,4,Timestamp-Dependency,code snippet injection
107,3,Timestamp-Dependency,code snippet injection
97,5,Timestamp-Dependency,code snippet injection
90,3,Timestamp-Dependency,code snippet injection
82,5,Timestamp-Dependency,code snippet injection
75,3,Timestamp-Dependency,code snippet injection
67,5,Timestamp-Dependency,code snippet injection
29,9,Timestamp-Dependency,code snippet injection
20,4,Timestamp-Dependency,code snippet injection
314,9,Timestamp-Dependency,code snippet injection
308,5,Timestamp-Dependency,code snippet injection
191,9,Timestamp-Dependency,code snippet injection
185,5,Timestamp-Dependency,code snippet injection
179,5,Timestamp-Dependency,code snippet injection
59,4,Timestamp-Dependency,code snippet injection
54,3,Timestamp-Dependency,code snippet injection
43,9,Timestamp-Dependency,code snippet injection
