loc,length,bug type,approach
232,1,Timestamp-Dependency,code snippet injection
230,1,Timestamp-Dependency,code snippet injection
282,1,Timestamp-Dependency,code snippet injection
272,1,Timestamp-Dependency,code snippet injection
263,1,Timestamp-Dependency,code snippet injection
860,9,Timestamp-Dependency,code snippet injection
848,4,Timestamp-Dependency,code snippet injection
831,4,Timestamp-Dependency,code snippet injection
815,3,Timestamp-Dependency,code snippet injection
802,5,Timestamp-Dependency,code snippet injection
790,4,Timestamp-Dependency,code snippet injection
779,3,Timestamp-Dependency,code snippet injection
766,5,Timestamp-Dependency,code snippet injection
755,3,Timestamp-Dependency,code snippet injection
746,5,Timestamp-Dependency,code snippet injection
739,3,Timestamp-Dependency,code snippet injection
730,5,Timestamp-Dependency,code snippet injection
717,9,Timestamp-Dependency,code snippet injection
709,4,Timestamp-Dependency,code snippet injection
695,9,Timestamp-Dependency,code snippet injection
686,5,Timestamp-Dependency,code snippet injection
673,9,Timestamp-Dependency,code snippet injection
664,5,Timestamp-Dependency,code snippet injection
655,5,Timestamp-Dependency,code snippet injection
644,4,Timestamp-Dependency,code snippet injection
633,3,Timestamp-Dependency,code snippet injection
615,9,Timestamp-Dependency,code snippet injection
603,3,Timestamp-Dependency,code snippet injection
591,4,Timestamp-Dependency,code snippet injection
583,4,Timestamp-Dependency,code snippet injection
575,4,Timestamp-Dependency,code snippet injection
559,9,Timestamp-Dependency,code snippet injection
550,5,Timestamp-Dependency,code snippet injection
529,9,Timestamp-Dependency,code snippet injection
521,4,Timestamp-Dependency,code snippet injection
513,4,Timestamp-Dependency,code snippet injection
503,5,Timestamp-Dependency,code snippet injection
493,5,Timestamp-Dependency,code snippet injection
480,3,Timestamp-Dependency,code snippet injection
465,9,Timestamp-Dependency,code snippet injection
458,3,Timestamp-Dependency,code snippet injection
450,3,Timestamp-Dependency,code snippet injection
436,9,Timestamp-Dependency,code snippet injection
423,9,Timestamp-Dependency,code snippet injection
414,3,Timestamp-Dependency,code snippet injection
