loc,length,bug type,approach
192,1,Timestamp-Dependency,code snippet injection
190,1,Timestamp-Dependency,code snippet injection
78,1,Timestamp-Dependency,code snippet injection
112,1,Timestamp-Dependency,code snippet injection
293,1,Timestamp-Dependency,code snippet injection
277,9,Timestamp-Dependency,code snippet injection
256,4,Timestamp-Dependency,code snippet injection
242,4,Timestamp-Dependency,code snippet injection
232,3,Timestamp-Dependency,code snippet injection
220,5,Timestamp-Dependency,code snippet injection
202,4,Timestamp-Dependency,code snippet injection
140,3,Timestamp-Dependency,code snippet injection
123,5,Timestamp-Dependency,code snippet injection
101,3,Timestamp-Dependency,code snippet injection
89,5,Timestamp-Dependency,code snippet injection
185,3,Timestamp-Dependency,code snippet injection
178,5,Timestamp-Dependency,code snippet injection
168,9,Timestamp-Dependency,code snippet injection
162,4,Timestamp-Dependency,code snippet injection
67,9,Timestamp-Dependency,code snippet injection
