loc,length,bug type,approach
1136,1,Timestamp-Dependency,code snippet injection
1114,1,Timestamp-Dependency,code snippet injection
1082,1,Timestamp-Dependency,code snippet injection
1059,1,Timestamp-Dependency,code snippet injection
965,1,Timestamp-Dependency,code snippet injection
875,9,Timestamp-Dependency,code snippet injection
856,4,Timestamp-Dependency,code snippet injection
836,4,Timestamp-Dependency,code snippet injection
813,3,Timestamp-Dependency,code snippet injection
793,5,Timestamp-Dependency,code snippet injection
781,4,Timestamp-Dependency,code snippet injection
770,3,Timestamp-Dependency,code snippet injection
757,5,Timestamp-Dependency,code snippet injection
746,3,Timestamp-Dependency,code snippet injection
730,5,Timestamp-Dependency,code snippet injection
711,3,Timestamp-Dependency,code snippet injection
697,5,Timestamp-Dependency,code snippet injection
677,9,Timestamp-Dependency,code snippet injection
665,4,Timestamp-Dependency,code snippet injection
646,9,Timestamp-Dependency,code snippet injection
632,5,Timestamp-Dependency,code snippet injection
613,9,Timestamp-Dependency,code snippet injection
599,5,Timestamp-Dependency,code snippet injection
584,5,Timestamp-Dependency,code snippet injection
570,4,Timestamp-Dependency,code snippet injection
552,3,Timestamp-Dependency,code snippet injection
528,9,Timestamp-Dependency,code snippet injection
503,3,Timestamp-Dependency,code snippet injection
480,4,Timestamp-Dependency,code snippet injection
464,4,Timestamp-Dependency,code snippet injection
443,4,Timestamp-Dependency,code snippet injection
423,9,Timestamp-Dependency,code snippet injection
410,5,Timestamp-Dependency,code snippet injection
384,9,Timestamp-Dependency,code snippet injection
353,4,Timestamp-Dependency,code snippet injection
321,4,Timestamp-Dependency,code snippet injection
290,5,Timestamp-Dependency,code snippet injection
259,5,Timestamp-Dependency,code snippet injection
228,3,Timestamp-Dependency,code snippet injection
188,9,Timestamp-Dependency,code snippet injection
175,3,Timestamp-Dependency,code snippet injection
171,3,Timestamp-Dependency,code snippet injection
161,9,Timestamp-Dependency,code snippet injection
149,9,Timestamp-Dependency,code snippet injection
144,3,Timestamp-Dependency,code snippet injection
