loc,length,bug type,approach
903,1,Timestamp-Dependency,code snippet injection
901,1,Timestamp-Dependency,code snippet injection
899,1,Timestamp-Dependency,code snippet injection
897,1,Timestamp-Dependency,code snippet injection
311,1,Timestamp-Dependency,code snippet injection
1064,9,Timestamp-Dependency,code snippet injection
1039,4,Timestamp-Dependency,code snippet injection
1001,4,Timestamp-Dependency,code snippet injection
983,3,Timestamp-Dependency,code snippet injection
973,5,Timestamp-Dependency,code snippet injection
959,4,Timestamp-Dependency,code snippet injection
949,3,Timestamp-Dependency,code snippet injection
936,5,Timestamp-Dependency,code snippet injection
919,3,Timestamp-Dependency,code snippet injection
818,5,Timestamp-Dependency,code snippet injection
809,3,Timestamp-Dependency,code snippet injection
798,5,Timestamp-Dependency,code snippet injection
785,9,Timestamp-Dependency,code snippet injection
752,4,Timestamp-Dependency,code snippet injection
728,9,Timestamp-Dependency,code snippet injection
401,5,Timestamp-Dependency,code snippet injection
380,9,Timestamp-Dependency,code snippet injection
367,5,Timestamp-Dependency,code snippet injection
350,5,Timestamp-Dependency,code snippet injection
331,4,Timestamp-Dependency,code snippet injection
321,3,Timestamp-Dependency,code snippet injection
278,9,Timestamp-Dependency,code snippet injection
270,3,Timestamp-Dependency,code snippet injection
260,4,Timestamp-Dependency,code snippet injection
891,4,Timestamp-Dependency,code snippet injection
886,4,Timestamp-Dependency,code snippet injection
875,9,Timestamp-Dependency,code snippet injection
868,5,Timestamp-Dependency,code snippet injection
858,9,Timestamp-Dependency,code snippet injection
853,4,Timestamp-Dependency,code snippet injection
848,4,Timestamp-Dependency,code snippet injection
842,5,Timestamp-Dependency,code snippet injection
835,5,Timestamp-Dependency,code snippet injection
777,3,Timestamp-Dependency,code snippet injection
766,9,Timestamp-Dependency,code snippet injection
721,3,Timestamp-Dependency,code snippet injection
303,3,Timestamp-Dependency,code snippet injection
