loc,length,bug type,approach
96,1,Timestamp-Dependency,code snippet injection
94,1,Timestamp-Dependency,code snippet injection
263,1,Timestamp-Dependency,code snippet injection
245,1,Timestamp-Dependency,code snippet injection
236,1,Timestamp-Dependency,code snippet injection
210,9,Timestamp-Dependency,code snippet injection
194,4,Timestamp-Dependency,code snippet injection
176,4,Timestamp-Dependency,code snippet injection
157,3,Timestamp-Dependency,code snippet injection
139,5,Timestamp-Dependency,code snippet injection
114,4,Timestamp-Dependency,code snippet injection
88,3,Timestamp-Dependency,code snippet injection
82,5,Timestamp-Dependency,code snippet injection
76,3,Timestamp-Dependency,code snippet injection
69,5,Timestamp-Dependency,code snippet injection
65,3,Timestamp-Dependency,code snippet injection
59,5,Timestamp-Dependency,code snippet injection
