loc,length,bug type,approach
554,1,Timestamp-Dependency,code snippet injection
552,1,Timestamp-Dependency,code snippet injection
550,1,Timestamp-Dependency,code snippet injection
207,1,Timestamp-Dependency,code snippet injection
205,1,Timestamp-Dependency,code snippet injection
195,9,Timestamp-Dependency,code snippet injection
127,4,Timestamp-Dependency,code snippet injection
122,4,Timestamp-Dependency,code snippet injection
67,3,Timestamp-Dependency,code snippet injection
656,5,Timestamp-Dependency,code snippet injection
645,4,Timestamp-Dependency,code snippet injection
628,3,Timestamp-Dependency,code snippet injection
607,5,Timestamp-Dependency,code snippet injection
589,3,Timestamp-Dependency,code snippet injection
573,5,Timestamp-Dependency,code snippet injection
510,3,Timestamp-Dependency,code snippet injection
468,5,Timestamp-Dependency,code snippet injection
455,9,Timestamp-Dependency,code snippet injection
447,4,Timestamp-Dependency,code snippet injection
434,9,Timestamp-Dependency,code snippet injection
425,5,Timestamp-Dependency,code snippet injection
405,9,Timestamp-Dependency,code snippet injection
391,5,Timestamp-Dependency,code snippet injection
373,5,Timestamp-Dependency,code snippet injection
355,4,Timestamp-Dependency,code snippet injection
344,3,Timestamp-Dependency,code snippet injection
315,9,Timestamp-Dependency,code snippet injection
297,3,Timestamp-Dependency,code snippet injection
275,4,Timestamp-Dependency,code snippet injection
256,4,Timestamp-Dependency,code snippet injection
237,4,Timestamp-Dependency,code snippet injection
218,9,Timestamp-Dependency,code snippet injection
175,5,Timestamp-Dependency,code snippet injection
158,9,Timestamp-Dependency,code snippet injection
114,4,Timestamp-Dependency,code snippet injection
100,4,Timestamp-Dependency,code snippet injection
79,5,Timestamp-Dependency,code snippet injection
542,5,Timestamp-Dependency,code snippet injection
538,3,Timestamp-Dependency,code snippet injection
526,9,Timestamp-Dependency,code snippet injection
501,3,Timestamp-Dependency,code snippet injection
496,3,Timestamp-Dependency,code snippet injection
486,9,Timestamp-Dependency,code snippet injection
476,9,Timestamp-Dependency,code snippet injection
190,3,Timestamp-Dependency,code snippet injection
