loc,length,bug type,approach
253,1,Timestamp-Dependency,code snippet injection
243,1,Timestamp-Dependency,code snippet injection
231,1,Timestamp-Dependency,code snippet injection
219,1,Timestamp-Dependency,code snippet injection
212,1,Timestamp-Dependency,code snippet injection
199,9,Timestamp-Dependency,code snippet injection
189,4,Timestamp-Dependency,code snippet injection
173,4,Timestamp-Dependency,code snippet injection
166,3,Timestamp-Dependency,code snippet injection
152,5,Timestamp-Dependency,code snippet injection
141,4,Timestamp-Dependency,code snippet injection
131,3,Timestamp-Dependency,code snippet injection
119,5,Timestamp-Dependency,code snippet injection
109,3,Timestamp-Dependency,code snippet injection
49,5,Timestamp-Dependency,code snippet injection
97,3,Timestamp-Dependency,code snippet injection
91,5,Timestamp-Dependency,code snippet injection
80,9,Timestamp-Dependency,code snippet injection
75,4,Timestamp-Dependency,code snippet injection
65,9,Timestamp-Dependency,code snippet injection
59,5,Timestamp-Dependency,code snippet injection
