loc,length,bug type,approach
571,1,Timestamp-Dependency,code snippet injection
299,1,Timestamp-Dependency,code snippet injection
288,1,Timestamp-Dependency,code snippet injection
281,1,Timestamp-Dependency,code snippet injection
272,1,Timestamp-Dependency,code snippet injection
241,9,Timestamp-Dependency,code snippet injection
993,4,Timestamp-Dependency,code snippet injection
968,4,Timestamp-Dependency,code snippet injection
954,3,Timestamp-Dependency,code snippet injection
943,5,Timestamp-Dependency,code snippet injection
935,4,Timestamp-Dependency,code snippet injection
926,3,Timestamp-Dependency,code snippet injection
896,5,Timestamp-Dependency,code snippet injection
883,3,Timestamp-Dependency,code snippet injection
874,5,Timestamp-Dependency,code snippet injection
851,3,Timestamp-Dependency,code snippet injection
841,5,Timestamp-Dependency,code snippet injection
827,9,Timestamp-Dependency,code snippet injection
817,4,Timestamp-Dependency,code snippet injection
803,9,Timestamp-Dependency,code snippet injection
793,5,Timestamp-Dependency,code snippet injection
780,9,Timestamp-Dependency,code snippet injection
769,5,Timestamp-Dependency,code snippet injection
759,5,Timestamp-Dependency,code snippet injection
730,4,Timestamp-Dependency,code snippet injection
702,3,Timestamp-Dependency,code snippet injection
677,9,Timestamp-Dependency,code snippet injection
664,3,Timestamp-Dependency,code snippet injection
615,4,Timestamp-Dependency,code snippet injection
598,4,Timestamp-Dependency,code snippet injection
582,4,Timestamp-Dependency,code snippet injection
516,9,Timestamp-Dependency,code snippet injection
505,5,Timestamp-Dependency,code snippet injection
489,9,Timestamp-Dependency,code snippet injection
478,4,Timestamp-Dependency,code snippet injection
468,4,Timestamp-Dependency,code snippet injection
457,5,Timestamp-Dependency,code snippet injection
446,5,Timestamp-Dependency,code snippet injection
437,3,Timestamp-Dependency,code snippet injection
421,9,Timestamp-Dependency,code snippet injection
413,3,Timestamp-Dependency,code snippet injection
405,3,Timestamp-Dependency,code snippet injection
391,9,Timestamp-Dependency,code snippet injection
376,9,Timestamp-Dependency,code snippet injection
367,3,Timestamp-Dependency,code snippet injection
