loc,length,bug type,approach
526,1,Timestamp-Dependency,code snippet injection
69,1,Timestamp-Dependency,code snippet injection
628,1,Timestamp-Dependency,code snippet injection
604,1,Timestamp-Dependency,code snippet injection
597,1,Timestamp-Dependency,code snippet injection
584,9,Timestamp-Dependency,code snippet injection
565,4,Timestamp-Dependency,code snippet injection
556,4,Timestamp-Dependency,code snippet injection
549,3,Timestamp-Dependency,code snippet injection
541,5,Timestamp-Dependency,code snippet injection
533,4,Timestamp-Dependency,code snippet injection
458,3,Timestamp-Dependency,code snippet injection
452,5,Timestamp-Dependency,code snippet injection
448,3,Timestamp-Dependency,code snippet injection
414,5,Timestamp-Dependency,code snippet injection
141,3,Timestamp-Dependency,code snippet injection
135,5,Timestamp-Dependency,code snippet injection
125,9,Timestamp-Dependency,code snippet injection
120,4,Timestamp-Dependency,code snippet injection
110,9,Timestamp-Dependency,code snippet injection
104,5,Timestamp-Dependency,code snippet injection
83,9,Timestamp-Dependency,code snippet injection
508,5,Timestamp-Dependency,code snippet injection
502,5,Timestamp-Dependency,code snippet injection
496,4,Timestamp-Dependency,code snippet injection
491,3,Timestamp-Dependency,code snippet injection
480,9,Timestamp-Dependency,code snippet injection
476,3,Timestamp-Dependency,code snippet injection
471,4,Timestamp-Dependency,code snippet injection
422,4,Timestamp-Dependency,code snippet injection
94,4,Timestamp-Dependency,code snippet injection
40,9,Timestamp-Dependency,code snippet injection
30,5,Timestamp-Dependency,code snippet injection
