loc,length,bug type,approach
636,1,Timestamp-Dependency,code snippet injection
632,1,Timestamp-Dependency,code snippet injection
628,1,Timestamp-Dependency,code snippet injection
419,1,Timestamp-Dependency,code snippet injection
416,1,Timestamp-Dependency,code snippet injection
405,9,Timestamp-Dependency,code snippet injection
300,4,Timestamp-Dependency,code snippet injection
295,4,Timestamp-Dependency,code snippet injection
143,3,Timestamp-Dependency,code snippet injection
114,5,Timestamp-Dependency,code snippet injection
622,4,Timestamp-Dependency,code snippet injection
605,3,Timestamp-Dependency,code snippet injection
587,5,Timestamp-Dependency,code snippet injection
575,3,Timestamp-Dependency,code snippet injection
563,5,Timestamp-Dependency,code snippet injection
551,3,Timestamp-Dependency,code snippet injection
537,5,Timestamp-Dependency,code snippet injection
519,9,Timestamp-Dependency,code snippet injection
505,4,Timestamp-Dependency,code snippet injection
486,9,Timestamp-Dependency,code snippet injection
444,5,Timestamp-Dependency,code snippet injection
434,9,Timestamp-Dependency,code snippet injection
428,5,Timestamp-Dependency,code snippet injection
399,5,Timestamp-Dependency,code snippet injection
387,4,Timestamp-Dependency,code snippet injection
379,3,Timestamp-Dependency,code snippet injection
363,9,Timestamp-Dependency,code snippet injection
356,3,Timestamp-Dependency,code snippet injection
344,4,Timestamp-Dependency,code snippet injection
332,4,Timestamp-Dependency,code snippet injection
282,4,Timestamp-Dependency,code snippet injection
263,9,Timestamp-Dependency,code snippet injection
241,5,Timestamp-Dependency,code snippet injection
196,9,Timestamp-Dependency,code snippet injection
183,4,Timestamp-Dependency,code snippet injection
143,4,Timestamp-Dependency,code snippet injection
137,5,Timestamp-Dependency,code snippet injection
131,5,Timestamp-Dependency,code snippet injection
114,3,Timestamp-Dependency,code snippet injection
104,9,Timestamp-Dependency,code snippet injection
100,3,Timestamp-Dependency,code snippet injection
86,3,Timestamp-Dependency,code snippet injection
59,9,Timestamp-Dependency,code snippet injection
460,9,Timestamp-Dependency,code snippet injection
456,3,Timestamp-Dependency,code snippet injection
