loc,length,bug type,approach
146,4,Overflow-Underflow,code snippet injection
119,8,Overflow-Underflow,code snippet injection
466,8,Overflow-Underflow,code snippet injection
446,10,Overflow-Underflow,code snippet injection
383,4,Overflow-Underflow,code snippet injection
365,8,Overflow-Underflow,code snippet injection
350,10,Overflow-Underflow,code snippet injection
343,4,Overflow-Underflow,code snippet injection
328,10,Overflow-Underflow,code snippet injection
271,4,Overflow-Underflow,code snippet injection
257,10,Overflow-Underflow,code snippet injection
213,4,Overflow-Underflow,code snippet injection
205,4,Overflow-Underflow,code snippet injection
146,8,Overflow-Underflow,code snippet injection
141,4,Overflow-Underflow,code snippet injection
136,4,Overflow-Underflow,code snippet injection
119,4,Overflow-Underflow,code snippet injection
114,4,Overflow-Underflow,code snippet injection
109,4,Overflow-Underflow,code snippet injection
93,8,Overflow-Underflow,code snippet injection
77,10,Overflow-Underflow,code snippet injection
418,4,Overflow-Underflow,code snippet injection
407,10,Overflow-Underflow,code snippet injection
398,8,Overflow-Underflow,code snippet injection
389,8,Overflow-Underflow,code snippet injection
279,8,Overflow-Underflow,code snippet injection
196,4,Overflow-Underflow,code snippet injection
191,4,Overflow-Underflow,code snippet injection
186,4,Overflow-Underflow,code snippet injection
177,8,Overflow-Underflow,code snippet injection
168,8,Overflow-Underflow,code snippet injection
163,4,Overflow-Underflow,code snippet injection
62,4,Overflow-Underflow,code snippet injection
51,10,Overflow-Underflow,code snippet injection
46,4,Overflow-Underflow,code snippet injection
35,10,Overflow-Underflow,code snippet injection
