loc,length,bug type,approach
2751,4,Overflow-Underflow,code snippet injection
2738,8,Overflow-Underflow,code snippet injection
2725,8,Overflow-Underflow,code snippet injection
2710,10,Overflow-Underflow,code snippet injection
2700,4,Overflow-Underflow,code snippet injection
2690,8,Overflow-Underflow,code snippet injection
1631,10,Overflow-Underflow,code snippet injection
1626,4,Overflow-Underflow,code snippet injection
1615,10,Overflow-Underflow,code snippet injection
1610,4,Overflow-Underflow,code snippet injection
1598,10,Overflow-Underflow,code snippet injection
1588,4,Overflow-Underflow,code snippet injection
1578,4,Overflow-Underflow,code snippet injection
1564,8,Overflow-Underflow,code snippet injection
903,4,Overflow-Underflow,code snippet injection
898,4,Overflow-Underflow,code snippet injection
893,4,Overflow-Underflow,code snippet injection
888,4,Overflow-Underflow,code snippet injection
883,4,Overflow-Underflow,code snippet injection
874,8,Overflow-Underflow,code snippet injection
863,10,Overflow-Underflow,code snippet injection
248,4,Overflow-Underflow,code snippet injection
236,10,Overflow-Underflow,code snippet injection
146,8,Overflow-Underflow,code snippet injection
3245,8,Overflow-Underflow,code snippet injection
3204,8,Overflow-Underflow,code snippet injection
3196,4,Overflow-Underflow,code snippet injection
3188,4,Overflow-Underflow,code snippet injection
3180,4,Overflow-Underflow,code snippet injection
3168,8,Overflow-Underflow,code snippet injection
3142,8,Overflow-Underflow,code snippet injection
3107,4,Overflow-Underflow,code snippet injection
3070,4,Overflow-Underflow,code snippet injection
3030,10,Overflow-Underflow,code snippet injection
3000,4,Overflow-Underflow,code snippet injection
2964,10,Overflow-Underflow,code snippet injection
2921,10,Overflow-Underflow,code snippet injection
2845,4,Overflow-Underflow,code snippet injection
2827,4,Overflow-Underflow,code snippet injection
2800,10,Overflow-Underflow,code snippet injection
