loc,length,bug type,approach
633,4,Overflow-Underflow,code snippet injection
622,8,Overflow-Underflow,code snippet injection
613,8,Overflow-Underflow,code snippet injection
602,10,Overflow-Underflow,code snippet injection
595,4,Overflow-Underflow,code snippet injection
586,8,Overflow-Underflow,code snippet injection
575,10,Overflow-Underflow,code snippet injection
496,4,Overflow-Underflow,code snippet injection
405,10,Overflow-Underflow,code snippet injection
400,4,Overflow-Underflow,code snippet injection
348,10,Overflow-Underflow,code snippet injection
343,4,Overflow-Underflow,code snippet injection
300,4,Overflow-Underflow,code snippet injection
291,8,Overflow-Underflow,code snippet injection
1187,4,Overflow-Underflow,code snippet injection
1179,4,Overflow-Underflow,code snippet injection
1171,4,Overflow-Underflow,code snippet injection
1163,4,Overflow-Underflow,code snippet injection
1155,4,Overflow-Underflow,code snippet injection
1143,8,Overflow-Underflow,code snippet injection
1128,10,Overflow-Underflow,code snippet injection
1087,4,Overflow-Underflow,code snippet injection
1070,10,Overflow-Underflow,code snippet injection
1054,8,Overflow-Underflow,code snippet injection
1042,8,Overflow-Underflow,code snippet injection
1029,8,Overflow-Underflow,code snippet injection
1020,4,Overflow-Underflow,code snippet injection
1006,4,Overflow-Underflow,code snippet injection
979,4,Overflow-Underflow,code snippet injection
920,8,Overflow-Underflow,code snippet injection
899,8,Overflow-Underflow,code snippet injection
875,4,Overflow-Underflow,code snippet injection
863,4,Overflow-Underflow,code snippet injection
846,10,Overflow-Underflow,code snippet injection
832,4,Overflow-Underflow,code snippet injection
816,10,Overflow-Underflow,code snippet injection
793,10,Overflow-Underflow,code snippet injection
766,4,Overflow-Underflow,code snippet injection
742,4,Overflow-Underflow,code snippet injection
710,10,Overflow-Underflow,code snippet injection
