loc,length,bug type,approach
2801,4,Overflow-Underflow,code snippet injection
2792,8,Overflow-Underflow,code snippet injection
2782,8,Overflow-Underflow,code snippet injection
2765,10,Overflow-Underflow,code snippet injection
1644,4,Overflow-Underflow,code snippet injection
1635,8,Overflow-Underflow,code snippet injection
1624,10,Overflow-Underflow,code snippet injection
1619,4,Overflow-Underflow,code snippet injection
1607,10,Overflow-Underflow,code snippet injection
1597,4,Overflow-Underflow,code snippet injection
1581,10,Overflow-Underflow,code snippet injection
1571,4,Overflow-Underflow,code snippet injection
901,4,Overflow-Underflow,code snippet injection
892,8,Overflow-Underflow,code snippet injection
887,4,Overflow-Underflow,code snippet injection
882,4,Overflow-Underflow,code snippet injection
877,4,Overflow-Underflow,code snippet injection
872,4,Overflow-Underflow,code snippet injection
867,4,Overflow-Underflow,code snippet injection
245,8,Overflow-Underflow,code snippet injection
233,10,Overflow-Underflow,code snippet injection
146,4,Overflow-Underflow,code snippet injection
2992,10,Overflow-Underflow,code snippet injection
2958,8,Overflow-Underflow,code snippet injection
2897,8,Overflow-Underflow,code snippet injection
2880,8,Overflow-Underflow,code snippet injection
2860,4,Overflow-Underflow,code snippet injection
2736,4,Overflow-Underflow,code snippet injection
2724,4,Overflow-Underflow,code snippet injection
2708,8,Overflow-Underflow,code snippet injection
2692,8,Overflow-Underflow,code snippet injection
2672,4,Overflow-Underflow,code snippet injection
2656,4,Overflow-Underflow,code snippet injection
2611,10,Overflow-Underflow,code snippet injection
2598,4,Overflow-Underflow,code snippet injection
2579,10,Overflow-Underflow,code snippet injection
2561,10,Overflow-Underflow,code snippet injection
2548,4,Overflow-Underflow,code snippet injection
2535,4,Overflow-Underflow,code snippet injection
2515,10,Overflow-Underflow,code snippet injection
