loc,length,bug type,approach
189,4,Overflow-Underflow,code snippet injection
151,8,Overflow-Underflow,code snippet injection
79,8,Overflow-Underflow,code snippet injection
64,10,Overflow-Underflow,code snippet injection
477,4,Overflow-Underflow,code snippet injection
462,8,Overflow-Underflow,code snippet injection
408,10,Overflow-Underflow,code snippet injection
390,4,Overflow-Underflow,code snippet injection
370,10,Overflow-Underflow,code snippet injection
348,4,Overflow-Underflow,code snippet injection
325,10,Overflow-Underflow,code snippet injection
311,4,Overflow-Underflow,code snippet injection
289,4,Overflow-Underflow,code snippet injection
261,8,Overflow-Underflow,code snippet injection
248,4,Overflow-Underflow,code snippet injection
232,4,Overflow-Underflow,code snippet injection
183,4,Overflow-Underflow,code snippet injection
151,4,Overflow-Underflow,code snippet injection
64,4,Overflow-Underflow,code snippet injection
55,8,Overflow-Underflow,code snippet injection
44,10,Overflow-Underflow,code snippet injection
39,4,Overflow-Underflow,code snippet injection
28,10,Overflow-Underflow,code snippet injection
19,8,Overflow-Underflow,code snippet injection
448,8,Overflow-Underflow,code snippet injection
438,8,Overflow-Underflow,code snippet injection
433,4,Overflow-Underflow,code snippet injection
428,4,Overflow-Underflow,code snippet injection
222,4,Overflow-Underflow,code snippet injection
213,8,Overflow-Underflow,code snippet injection
204,8,Overflow-Underflow,code snippet injection
