loc,length,bug type,approach
519,4,Overflow-Underflow,code snippet injection
510,8,Overflow-Underflow,code snippet injection
415,8,Overflow-Underflow,code snippet injection
404,10,Overflow-Underflow,code snippet injection
754,4,Overflow-Underflow,code snippet injection
736,8,Overflow-Underflow,code snippet injection
719,10,Overflow-Underflow,code snippet injection
708,4,Overflow-Underflow,code snippet injection
691,10,Overflow-Underflow,code snippet injection
649,4,Overflow-Underflow,code snippet injection
635,10,Overflow-Underflow,code snippet injection
627,4,Overflow-Underflow,code snippet injection
619,4,Overflow-Underflow,code snippet injection
607,8,Overflow-Underflow,code snippet injection
591,4,Overflow-Underflow,code snippet injection
579,4,Overflow-Underflow,code snippet injection
551,4,Overflow-Underflow,code snippet injection
540,4,Overflow-Underflow,code snippet injection
497,4,Overflow-Underflow,code snippet injection
484,8,Overflow-Underflow,code snippet injection
469,10,Overflow-Underflow,code snippet injection
461,4,Overflow-Underflow,code snippet injection
447,10,Overflow-Underflow,code snippet injection
430,8,Overflow-Underflow,code snippet injection
348,8,Overflow-Underflow,code snippet injection
326,8,Overflow-Underflow,code snippet injection
308,4,Overflow-Underflow,code snippet injection
289,4,Overflow-Underflow,code snippet injection
271,4,Overflow-Underflow,code snippet injection
245,8,Overflow-Underflow,code snippet injection
219,8,Overflow-Underflow,code snippet injection
200,4,Overflow-Underflow,code snippet injection
179,4,Overflow-Underflow,code snippet injection
159,10,Overflow-Underflow,code snippet injection
145,4,Overflow-Underflow,code snippet injection
126,10,Overflow-Underflow,code snippet injection
674,10,Overflow-Underflow,code snippet injection
669,4,Overflow-Underflow,code snippet injection
664,4,Overflow-Underflow,code snippet injection
525,10,Overflow-Underflow,code snippet injection
