loc,length,bug type,approach
106,4,Overflow-Underflow,code snippet injection
79,8,Overflow-Underflow,code snippet injection
70,8,Overflow-Underflow,code snippet injection
461,10,Overflow-Underflow,code snippet injection
454,4,Overflow-Underflow,code snippet injection
442,8,Overflow-Underflow,code snippet injection
424,10,Overflow-Underflow,code snippet injection
412,4,Overflow-Underflow,code snippet injection
399,10,Overflow-Underflow,code snippet injection
391,4,Overflow-Underflow,code snippet injection
357,10,Overflow-Underflow,code snippet injection
252,4,Overflow-Underflow,code snippet injection
245,4,Overflow-Underflow,code snippet injection
231,8,Overflow-Underflow,code snippet injection
224,4,Overflow-Underflow,code snippet injection
213,4,Overflow-Underflow,code snippet injection
204,4,Overflow-Underflow,code snippet injection
194,4,Overflow-Underflow,code snippet injection
187,4,Overflow-Underflow,code snippet injection
175,8,Overflow-Underflow,code snippet injection
144,10,Overflow-Underflow,code snippet injection
134,4,Overflow-Underflow,code snippet injection
115,10,Overflow-Underflow,code snippet injection
92,8,Overflow-Underflow,code snippet injection
61,8,Overflow-Underflow,code snippet injection
52,8,Overflow-Underflow,code snippet injection
47,4,Overflow-Underflow,code snippet injection
42,4,Overflow-Underflow,code snippet injection
37,4,Overflow-Underflow,code snippet injection
28,8,Overflow-Underflow,code snippet injection
333,8,Overflow-Underflow,code snippet injection
328,4,Overflow-Underflow,code snippet injection
323,4,Overflow-Underflow,code snippet injection
312,10,Overflow-Underflow,code snippet injection
307,4,Overflow-Underflow,code snippet injection
296,10,Overflow-Underflow,code snippet injection
283,10,Overflow-Underflow,code snippet injection
278,4,Overflow-Underflow,code snippet injection
273,4,Overflow-Underflow,code snippet injection
262,10,Overflow-Underflow,code snippet injection
