loc,length,bug type,approach
92,4,Overflow-Underflow,code snippet injection
83,8,Overflow-Underflow,code snippet injection
298,8,Overflow-Underflow,code snippet injection
258,10,Overflow-Underflow,code snippet injection
241,4,Overflow-Underflow,code snippet injection
220,8,Overflow-Underflow,code snippet injection
200,10,Overflow-Underflow,code snippet injection
179,4,Overflow-Underflow,code snippet injection
150,10,Overflow-Underflow,code snippet injection
137,4,Overflow-Underflow,code snippet injection
72,10,Overflow-Underflow,code snippet injection
67,4,Overflow-Underflow,code snippet injection
62,4,Overflow-Underflow,code snippet injection
53,8,Overflow-Underflow,code snippet injection
48,4,Overflow-Underflow,code snippet injection
287,4,Overflow-Underflow,code snippet injection
281,4,Overflow-Underflow,code snippet injection
276,4,Overflow-Underflow,code snippet injection
271,4,Overflow-Underflow,code snippet injection
112,8,Overflow-Underflow,code snippet injection
101,10,Overflow-Underflow,code snippet injection
41,4,Overflow-Underflow,code snippet injection
