loc,length,bug type,approach
827,4,Overflow-Underflow,code snippet injection
720,8,Overflow-Underflow,code snippet injection
616,8,Overflow-Underflow,code snippet injection
93,10,Overflow-Underflow,code snippet injection
88,4,Overflow-Underflow,code snippet injection
79,8,Overflow-Underflow,code snippet injection
68,10,Overflow-Underflow,code snippet injection
63,4,Overflow-Underflow,code snippet injection
52,10,Overflow-Underflow,code snippet injection
47,4,Overflow-Underflow,code snippet injection
869,10,Overflow-Underflow,code snippet injection
861,4,Overflow-Underflow,code snippet injection
747,4,Overflow-Underflow,code snippet injection
733,8,Overflow-Underflow,code snippet injection
709,4,Overflow-Underflow,code snippet injection
695,4,Overflow-Underflow,code snippet injection
683,4,Overflow-Underflow,code snippet injection
668,4,Overflow-Underflow,code snippet injection
649,4,Overflow-Underflow,code snippet injection
634,8,Overflow-Underflow,code snippet injection
573,10,Overflow-Underflow,code snippet injection
563,4,Overflow-Underflow,code snippet injection
549,10,Overflow-Underflow,code snippet injection
535,8,Overflow-Underflow,code snippet injection
523,8,Overflow-Underflow,code snippet injection
504,8,Overflow-Underflow,code snippet injection
483,4,Overflow-Underflow,code snippet injection
458,4,Overflow-Underflow,code snippet injection
432,4,Overflow-Underflow,code snippet injection
343,8,Overflow-Underflow,code snippet injection
237,8,Overflow-Underflow,code snippet injection
821,4,Overflow-Underflow,code snippet injection
815,4,Overflow-Underflow,code snippet injection
604,10,Overflow-Underflow,code snippet injection
170,4,Overflow-Underflow,code snippet injection
159,10,Overflow-Underflow,code snippet injection
148,10,Overflow-Underflow,code snippet injection
113,4,Overflow-Underflow,code snippet injection
108,4,Overflow-Underflow,code snippet injection
24,10,Overflow-Underflow,code snippet injection
