loc,length,bug type,approach
376,4,Overflow-Underflow,code snippet injection
336,8,Overflow-Underflow,code snippet injection
316,8,Overflow-Underflow,code snippet injection
296,10,Overflow-Underflow,code snippet injection
281,4,Overflow-Underflow,code snippet injection
262,8,Overflow-Underflow,code snippet injection
243,10,Overflow-Underflow,code snippet injection
228,4,Overflow-Underflow,code snippet injection
212,10,Overflow-Underflow,code snippet injection
204,4,Overflow-Underflow,code snippet injection
187,10,Overflow-Underflow,code snippet injection
172,4,Overflow-Underflow,code snippet injection
72,4,Overflow-Underflow,code snippet injection
362,8,Overflow-Underflow,code snippet injection
357,4,Overflow-Underflow,code snippet injection
352,4,Overflow-Underflow,code snippet injection
347,4,Overflow-Underflow,code snippet injection
163,4,Overflow-Underflow,code snippet injection
158,4,Overflow-Underflow,code snippet injection
146,8,Overflow-Underflow,code snippet injection
