loc,length,bug type,approach
772,4,Overflow-Underflow,code snippet injection
763,8,Overflow-Underflow,code snippet injection
754,8,Overflow-Underflow,code snippet injection
743,10,Overflow-Underflow,code snippet injection
738,4,Overflow-Underflow,code snippet injection
249,8,Overflow-Underflow,code snippet injection
959,10,Overflow-Underflow,code snippet injection
951,4,Overflow-Underflow,code snippet injection
911,10,Overflow-Underflow,code snippet injection
902,4,Overflow-Underflow,code snippet injection
888,10,Overflow-Underflow,code snippet injection
870,4,Overflow-Underflow,code snippet injection
857,4,Overflow-Underflow,code snippet injection
844,8,Overflow-Underflow,code snippet injection
834,4,Overflow-Underflow,code snippet injection
824,4,Overflow-Underflow,code snippet injection
812,4,Overflow-Underflow,code snippet injection
791,4,Overflow-Underflow,code snippet injection
664,4,Overflow-Underflow,code snippet injection
650,8,Overflow-Underflow,code snippet injection
634,10,Overflow-Underflow,code snippet injection
626,4,Overflow-Underflow,code snippet injection
599,10,Overflow-Underflow,code snippet injection
579,8,Overflow-Underflow,code snippet injection
345,8,Overflow-Underflow,code snippet injection
328,8,Overflow-Underflow,code snippet injection
316,4,Overflow-Underflow,code snippet injection
300,4,Overflow-Underflow,code snippet injection
281,4,Overflow-Underflow,code snippet injection
266,8,Overflow-Underflow,code snippet injection
226,8,Overflow-Underflow,code snippet injection
217,4,Overflow-Underflow,code snippet injection
208,4,Overflow-Underflow,code snippet injection
726,10,Overflow-Underflow,code snippet injection
721,4,Overflow-Underflow,code snippet injection
710,10,Overflow-Underflow,code snippet injection
699,10,Overflow-Underflow,code snippet injection
694,4,Overflow-Underflow,code snippet injection
689,4,Overflow-Underflow,code snippet injection
678,10,Overflow-Underflow,code snippet injection
