loc,length,bug type,approach
342,4,Overflow-Underflow,code snippet injection
321,8,Overflow-Underflow,code snippet injection
309,8,Overflow-Underflow,code snippet injection
295,10,Overflow-Underflow,code snippet injection
287,4,Overflow-Underflow,code snippet injection
244,8,Overflow-Underflow,code snippet injection
228,10,Overflow-Underflow,code snippet injection
216,4,Overflow-Underflow,code snippet injection
198,10,Overflow-Underflow,code snippet injection
186,4,Overflow-Underflow,code snippet injection
168,10,Overflow-Underflow,code snippet injection
156,4,Overflow-Underflow,code snippet injection
145,4,Overflow-Underflow,code snippet injection
129,8,Overflow-Underflow,code snippet injection
120,4,Overflow-Underflow,code snippet injection
112,4,Overflow-Underflow,code snippet injection
104,4,Overflow-Underflow,code snippet injection
332,4,Overflow-Underflow,code snippet injection
276,4,Overflow-Underflow,code snippet injection
267,8,Overflow-Underflow,code snippet injection
256,10,Overflow-Underflow,code snippet injection
95,4,Overflow-Underflow,code snippet injection
83,10,Overflow-Underflow,code snippet injection
73,8,Overflow-Underflow,code snippet injection
