loc,length,bug type,approach
1639,4,Overflow-Underflow,code snippet injection
1630,8,Overflow-Underflow,code snippet injection
1621,8,Overflow-Underflow,code snippet injection
1610,10,Overflow-Underflow,code snippet injection
1605,4,Overflow-Underflow,code snippet injection
1366,8,Overflow-Underflow,code snippet injection
1355,10,Overflow-Underflow,code snippet injection
1033,4,Overflow-Underflow,code snippet injection
1022,10,Overflow-Underflow,code snippet injection
905,4,Overflow-Underflow,code snippet injection
890,10,Overflow-Underflow,code snippet injection
837,4,Overflow-Underflow,code snippet injection
832,4,Overflow-Underflow,code snippet injection
703,8,Overflow-Underflow,code snippet injection
698,4,Overflow-Underflow,code snippet injection
47,4,Overflow-Underflow,code snippet injection
42,4,Overflow-Underflow,code snippet injection
37,4,Overflow-Underflow,code snippet injection
2082,4,Overflow-Underflow,code snippet injection
2061,8,Overflow-Underflow,code snippet injection
2043,10,Overflow-Underflow,code snippet injection
2035,4,Overflow-Underflow,code snippet injection
2021,10,Overflow-Underflow,code snippet injection
2005,8,Overflow-Underflow,code snippet injection
1993,8,Overflow-Underflow,code snippet injection
1981,8,Overflow-Underflow,code snippet injection
1973,4,Overflow-Underflow,code snippet injection
1953,4,Overflow-Underflow,code snippet injection
1918,4,Overflow-Underflow,code snippet injection
1892,8,Overflow-Underflow,code snippet injection
1860,8,Overflow-Underflow,code snippet injection
1825,4,Overflow-Underflow,code snippet injection
1808,4,Overflow-Underflow,code snippet injection
1750,10,Overflow-Underflow,code snippet injection
1700,4,Overflow-Underflow,code snippet injection
1685,10,Overflow-Underflow,code snippet injection
1544,10,Overflow-Underflow,code snippet injection
1532,4,Overflow-Underflow,code snippet injection
1524,4,Overflow-Underflow,code snippet injection
1510,10,Overflow-Underflow,code snippet injection
