loc,length,bug type,approach
527,4,Overflow-Underflow,code snippet injection
518,8,Overflow-Underflow,code snippet injection
504,8,Overflow-Underflow,code snippet injection
340,10,Overflow-Underflow,code snippet injection
335,4,Overflow-Underflow,code snippet injection
153,8,Overflow-Underflow,code snippet injection
114,10,Overflow-Underflow,code snippet injection
49,4,Overflow-Underflow,code snippet injection
629,10,Overflow-Underflow,code snippet injection
622,4,Overflow-Underflow,code snippet injection
601,10,Overflow-Underflow,code snippet injection
588,4,Overflow-Underflow,code snippet injection
580,4,Overflow-Underflow,code snippet injection
568,8,Overflow-Underflow,code snippet injection
559,4,Overflow-Underflow,code snippet injection
547,4,Overflow-Underflow,code snippet injection
495,4,Overflow-Underflow,code snippet injection
459,4,Overflow-Underflow,code snippet injection
451,4,Overflow-Underflow,code snippet injection
439,8,Overflow-Underflow,code snippet injection
421,10,Overflow-Underflow,code snippet injection
413,4,Overflow-Underflow,code snippet injection
395,10,Overflow-Underflow,code snippet injection
379,8,Overflow-Underflow,code snippet injection
319,8,Overflow-Underflow,code snippet injection
300,8,Overflow-Underflow,code snippet injection
284,4,Overflow-Underflow,code snippet injection
270,4,Overflow-Underflow,code snippet injection
250,4,Overflow-Underflow,code snippet injection
210,8,Overflow-Underflow,code snippet injection
193,8,Overflow-Underflow,code snippet injection
153,4,Overflow-Underflow,code snippet injection
148,4,Overflow-Underflow,code snippet injection
137,10,Overflow-Underflow,code snippet injection
114,4,Overflow-Underflow,code snippet injection
103,10,Overflow-Underflow,code snippet injection
85,10,Overflow-Underflow,code snippet injection
63,4,Overflow-Underflow,code snippet injection
534,4,Overflow-Underflow,code snippet injection
469,10,Overflow-Underflow,code snippet injection
