loc,length,bug type,approach
699,4,Overflow-Underflow,code snippet injection
690,8,Overflow-Underflow,code snippet injection
260,8,Overflow-Underflow,code snippet injection
161,10,Overflow-Underflow,code snippet injection
73,4,Overflow-Underflow,code snippet injection
64,8,Overflow-Underflow,code snippet injection
14,10,Overflow-Underflow,code snippet injection
976,4,Overflow-Underflow,code snippet injection
951,10,Overflow-Underflow,code snippet injection
934,4,Overflow-Underflow,code snippet injection
885,10,Overflow-Underflow,code snippet injection
846,4,Overflow-Underflow,code snippet injection
833,4,Overflow-Underflow,code snippet injection
820,8,Overflow-Underflow,code snippet injection
810,4,Overflow-Underflow,code snippet injection
793,4,Overflow-Underflow,code snippet injection
776,4,Overflow-Underflow,code snippet injection
764,4,Overflow-Underflow,code snippet injection
752,4,Overflow-Underflow,code snippet injection
620,8,Overflow-Underflow,code snippet injection
592,10,Overflow-Underflow,code snippet injection
580,4,Overflow-Underflow,code snippet injection
545,10,Overflow-Underflow,code snippet injection
532,8,Overflow-Underflow,code snippet injection
455,8,Overflow-Underflow,code snippet injection
443,8,Overflow-Underflow,code snippet injection
435,4,Overflow-Underflow,code snippet injection
427,4,Overflow-Underflow,code snippet injection
419,4,Overflow-Underflow,code snippet injection
395,8,Overflow-Underflow,code snippet injection
366,8,Overflow-Underflow,code snippet injection
346,4,Overflow-Underflow,code snippet injection
332,4,Overflow-Underflow,code snippet injection
306,10,Overflow-Underflow,code snippet injection
260,4,Overflow-Underflow,code snippet injection
249,10,Overflow-Underflow,code snippet injection
238,10,Overflow-Underflow,code snippet injection
223,4,Overflow-Underflow,code snippet injection
210,4,Overflow-Underflow,code snippet injection
161,10,Overflow-Underflow,code snippet injection
